hid,buildyear,type,price,planno
217,1946,Brick,468411,4
218,1972,Brick and Wood,348967,3
219,1955,Wood,262733,4
220,1930,Brick,52316,3
221,2009,Wood,243152,4
222,1932,Wood,430720,4
223,1948,Wood,174653,3
224,2007,Wood,254218,4
225,1980,Wood,431037,3
226,1982,Wood,115180,4
227,2006,Brick and Wood,113152,3
228,2015,Brick and Wood,486523,4
229,1979,Wood,261153,3
230,2005,Wood,321811,3
231,1937,Brick,311888,4
232,2016,Brick and Wood,73375,3
233,1942,Wood,293930,3
234,1975,Brick and Wood,147671,4
235,1955,Wood,498886,3
236,1953,Wood,173771,4
237,1997,Wood,107245,4
238,1991,Wood,477496,4
239,2005,Brick and Wood,245640,3
240,1970,Wood,235767,4
241,1943,Wood,99388,4
242,1991,Brick and Wood,319485,4
243,1974,Brick and Wood,463309,3
244,1930,Wood,242195,4
245,1940,Brick,58017,4
246,1997,Wood,438099,3
247,1960,Brick,436259,3
248,1936,Brick,313154,4
249,1932,Brick and Wood,488621,3
250,1960,Wood,366582,3
251,1981,Brick and Wood,132561,4
252,1932,Brick,98834,3
253,2005,Brick,108455,3
254,1947,Brick,178920,4
255,1933,Wood,468495,4
256,1988,Brick,103422,4
257,1993,Brick,152186,3
258,1955,Brick,157672,4
259,1968,Wood,89492,4
260,1972,Brick and Wood,328479,4
261,1969,Brick,215107,4
262,2002,Brick and Wood,153508,3
263,1930,Wood,286660,4
264,2009,Brick and Wood,109246,3
265,1980,Brick and Wood,338366,3
266,1947,Brick,289335,3
267,1974,Brick,199709,4
268,1963,Brick,208162,3
269,1964,Brick,224864,3
270,1987,Wood,112279,3
271,1942,Brick and Wood,466845,4
272,2000,Brick,259151,4
273,1972,Brick and Wood,164664,4
274,1988,Brick and Wood,262723,3
275,1953,Brick,433704,4
276,1984,Wood,395293,4
277,2006,Wood,398161,3
278,1995,Brick and Wood,285713,4
279,1943,Brick and Wood,424602,4
280,1992,Wood,426743,4
281,1958,Brick,188267,3
282,2014,Wood,320123,3
283,2008,Brick,411107,4
284,1937,Brick,398147,4
285,2015,Brick and Wood,228967,3
286,2000,Brick and Wood,428200,3
287,1937,Brick,98134,3
288,1982,Brick and Wood,263965,3
289,1940,Brick,239435,3
290,1999,Brick and Wood,365974,4
291,1942,Wood,269833,4
292,1969,Wood,151250,3
293,1965,Brick and Wood,160043,3
294,1974,Brick and Wood,93319,3
295,1973,Wood,485528,3
296,1969,Wood,69919,3
297,1950,Brick,308199,4
298,1968,Wood,343226,3
299,1999,Brick and Wood,183908,4
300,1977,Brick,68287,3
301,1971,Wood,54888,4
302,1960,Brick and Wood,370340,3
303,1973,Brick and Wood,244473,4
304,1970,Brick,410274,3
305,2003,Brick,186693,4
306,1974,Brick,45649,3
307,2016,Brick and Wood,184409,4
308,2006,Brick and Wood,453133,3
309,1988,Brick and Wood,135873,3
310,2010,Wood,439112,4
311,1941,Brick,494038,3
312,1972,Brick,44809,4
313,2002,Brick,479349,3
314,1972,Wood,106186,4
315,1994,Wood,74184,4
316,2003,Brick,466174,4
317,2007,Brick and Wood,489745,3
318,1941,Brick and Wood,222508,4
319,1971,Brick and Wood,460586,3
320,2012,Brick,164004,3
321,1960,Brick,64199,3
322,1946,Wood,211753,4
323,1999,Brick and Wood,273255,3
324,1966,Brick and Wood,430113,4
325,1945,Brick,377515,3
326,1959,Brick and Wood,462717,3
327,1948,Brick and Wood,146893,4
328,2000,Brick,407938,4
329,1967,Brick,315031,4
330,1994,Brick and Wood,38773,4
331,1953,Wood,198814,3
332,1997,Wood,123474,4
333,2014,Brick and Wood,236111,4
334,1971,Wood,75885,3
335,1988,Wood,97659,3
336,1985,Brick,189542,3
337,2007,Brick,108915,3
338,2009,Brick,161114,3
339,1978,Wood,214789,4
340,1970,Brick and Wood,386764,4
341,1997,Brick and Wood,465039,4
342,2004,Brick and Wood,384730,3
343,1967,Brick,487893,4
344,1959,Wood,418146,4
345,1972,Wood,408636,3
346,1935,Brick,472186,4
347,1982,Wood,369497,4
348,2013,Wood,116638,4
349,1958,Brick and Wood,323711,3
350,1993,Brick and Wood,357088,4
351,1933,Brick,492956,3
352,1959,Wood,48586,3
353,1998,Wood,48472,4
354,1985,Brick,361436,4
355,2009,Brick and Wood,310368,3
356,1961,Brick,396730,3
357,2012,Wood,489931,3
358,2000,Wood,176741,4
359,2001,Wood,364423,3
360,1930,Wood,483178,4
361,1957,Wood,215244,4
362,2001,Wood,48023,3
363,1949,Brick and Wood,246852,4
364,1989,Brick,492517,4
365,1944,Wood,301447,3
366,1930,Brick and Wood,415299,4
367,1981,Brick,214153,4
368,1962,Brick and Wood,159383,3
369,1983,Brick and Wood,36247,4
370,1990,Wood,235698,3
371,2002,Brick and Wood,260955,4
372,1978,Brick,183795,4
373,1969,Brick and Wood,320327,3
374,1999,Brick,405853,4
375,1971,Brick and Wood,481940,3
376,1987,Brick and Wood,170219,4
377,1955,Brick,68757,4
378,2005,Wood,442833,3
379,1975,Brick and Wood,140853,4
380,1966,Wood,223245,4
381,1983,Brick,359745,4
382,1980,Brick,291795,3
383,1972,Wood,195414,4
384,2004,Brick,63969,3
385,1973,Brick,424424,4
386,2002,Wood,252260,3
387,1978,Wood,149872,3
388,2005,Brick and Wood,163827,4
389,1945,Wood,499909,4
390,2016,Wood,159206,3
391,1932,Brick and Wood,430322,4
392,1967,Brick and Wood,388287,3
393,1984,Wood,356600,4
394,1980,Wood,381449,3
395,1948,Brick and Wood,207986,4
396,2012,Wood,166503,3
397,2006,Wood,123135,3
398,2014,Brick and Wood,490264,3
399,2002,Brick,85370,4
400,2002,Brick and Wood,360757,4
401,1945,Brick,481006,4
402,1931,Wood,59139,3
403,1932,Brick and Wood,215800,3
404,1989,Wood,237470,3
405,2010,Brick and Wood,221521,3
406,1952,Brick and Wood,278044,3
407,1947,Brick,381349,4
408,2004,Brick,382526,3
409,1991,Brick and Wood,380651,3
410,1930,Brick,453750,3
411,1938,Wood,276569,4
412,1940,Brick and Wood,465953,4
413,1998,Brick,423383,3
414,2006,Brick and Wood,271316,3
415,1954,Brick and Wood,423088,3
416,1979,Brick,94021,4
417,1989,Brick,93950,3
418,1968,Brick,149857,4
419,1991,Wood,421789,3
420,1936,Brick and Wood,349250,4
421,1937,Brick,466411,3
422,2009,Brick and Wood,314673,4
423,1972,Brick,413692,4
424,1964,Brick,200187,3
425,2015,Wood,41533,4
426,2009,Brick and Wood,222017,4
427,1953,Wood,416618,3
428,1942,Wood,328369,3
429,1948,Brick,464307,4
430,1934,Wood,299910,4
431,2013,Brick,395767,4
432,1944,Wood,462291,3
433,1930,Brick and Wood,353254,4
434,1993,Brick and Wood,335182,4
435,1953,Brick,133505,4
436,1977,Wood,432019,4
437,1980,Brick,57167,3
438,1946,Brick and Wood,430823,4
439,1963,Wood,257892,3
440,1976,Wood,419678,3
441,1938,Wood,432425,4
442,2010,Brick and Wood,447765,3
443,1933,Wood,191653,4
444,1935,Brick and Wood,367079,3
445,1939,Brick and Wood,134278,3
446,1993,Brick and Wood,146176,4
447,1945,Brick,310344,3
448,1963,Brick and Wood,313114,4
449,1964,Brick,84333,4
450,1931,Brick,445617,4
451,2000,Wood,202677,3
452,2012,Brick and Wood,180634,4
453,1995,Wood,176537,3
454,1989,Wood,387117,3
455,1987,Wood,249073,4
456,1991,Brick,254136,3
457,1976,Brick,464805,4
458,1961,Brick,141543,3
459,2015,Brick and Wood,243748,4
460,1943,Brick and Wood,141350,4
461,1969,Wood,274973,4
462,1990,Wood,210408,4
463,1960,Wood,192822,4
464,2014,Brick,40429,3
465,1952,Brick,335817,4
466,1978,Wood,423000,3
467,1965,Brick,114059,4
468,1942,Brick and Wood,386345,3
469,2012,Wood,364526,4
470,1935,Brick and Wood,206736,3
471,1971,Brick,160146,3
472,1996,Brick and Wood,495752,3
473,1936,Brick and Wood,49800,3
474,1965,Brick,74681,4
475,2011,Brick and Wood,64663,3
476,1959,Brick and Wood,398361,4
477,1978,Brick and Wood,134277,4
478,1968,Brick,419912,4
479,1949,Brick and Wood,102777,3
480,2015,Brick,348440,4
481,2010,Brick and Wood,162389,3
482,1981,Wood,87041,3
483,1938,Brick,444338,3
484,1994,Brick and Wood,72255,4
485,1942,Brick,498426,4
486,1984,Brick and Wood,79399,4
487,1955,Brick,68026,4
488,1932,Wood,305285,3
489,2006,Brick and Wood,251561,3
490,2006,Brick and Wood,379823,4
491,1959,Brick,88854,3
492,1959,Brick,250463,4
493,1943,Brick and Wood,237549,3
494,1951,Wood,260823,3
495,1956,Brick,195084,3
496,1947,Wood,333159,4
497,1979,Brick,348230,4
498,1990,Brick and Wood,186686,3
499,1965,Brick and Wood,229995,3
500,1981,Wood,339651,4
501,1962,Wood,75925,4
502,1942,Brick,410407,3
503,1964,Brick and Wood,370532,3
504,1980,Brick,113977,3
505,1997,Brick,449615,3
506,1945,Brick,122043,3
507,1964,Wood,197730,4
508,1983,Brick,149436,4
509,1948,Brick,76796,4
510,1989,Brick and Wood,459228,3
511,1988,Brick and Wood,354839,3
512,2001,Wood,492697,4
513,1996,Wood,213648,3
514,1980,Wood,51010,4
515,1974,Brick and Wood,445795,3
516,1979,Brick and Wood,468677,4
517,2013,Brick and Wood,450037,3
518,1963,Brick,56289,4
519,1942,Wood,446199,4
520,1941,Brick and Wood,377150,3
521,1979,Brick,316684,3
522,1941,Brick,491192,4
523,2016,Brick and Wood,92913,4
524,1936,Wood,308132,3
525,2016,Brick,344996,3
526,2010,Brick,370535,3
527,1962,Brick,480641,3
528,2000,Brick,251396,4
529,1957,Brick,141496,4
530,1997,Brick and Wood,367430,4
531,1959,Wood,225790,4
532,2005,Brick and Wood,135813,4
533,1986,Wood,260723,4
534,1977,Brick and Wood,256121,3
535,1980,Brick and Wood,250237,3
536,1946,Brick,58682,3
537,1991,Wood,372124,3
538,1960,Wood,99695,4
539,1951,Brick,409416,3
540,2001,Wood,447828,4
541,1933,Brick,93508,4
542,2005,Brick and Wood,295465,4
543,1982,Brick and Wood,373948,3
544,2011,Brick,428945,3
545,2015,Brick,222774,3
546,1950,Wood,304238,4
547,1955,Wood,373261,3
548,1949,Wood,407558,4
549,1955,Brick and Wood,127322,3
550,1997,Wood,154277,3
551,1947,Brick and Wood,35152,4
552,1948,Brick and Wood,403773,4
553,1959,Wood,270247,3
554,1993,Brick,59663,3
555,1938,Brick,487026,3
556,2004,Brick,307257,4
557,1949,Brick and Wood,174975,3
558,1981,Wood,294671,4
559,1945,Brick and Wood,58144,4
560,1964,Brick and Wood,300274,4
561,1964,Brick and Wood,246249,3
562,1954,Brick and Wood,244951,4
563,1990,Wood,116802,3
564,1978,Brick,428837,3
565,1981,Brick and Wood,355941,4
566,1967,Brick,217458,4
567,1939,Brick and Wood,300202,4
568,1996,Wood,456432,4
569,2012,Wood,217496,4
570,1979,Brick and Wood,412914,4
571,2010,Wood,105092,3
572,1979,Wood,308629,4
573,1987,Brick,148077,3
574,1990,Brick,463176,4
575,1971,Brick,202359,3
576,1993,Wood,432199,4
577,1963,Brick and Wood,95246,3
578,1978,Wood,92278,3
579,1937,Brick,463942,4
580,1956,Wood,275354,4
581,1954,Wood,416531,3
582,2013,Brick,231410,3
583,1944,Wood,408857,3
584,1980,Brick and Wood,424372,3
585,1943,Wood,392882,4
586,1946,Wood,415556,4
587,1959,Wood,478883,3
588,2014,Wood,137511,4
589,1999,Brick and Wood,250913,4
590,2015,Wood,332389,3
591,1976,Brick and Wood,305764,3
592,1983,Wood,288879,3
593,1983,Wood,51753,3
594,2013,Brick,107470,3
595,1975,Brick and Wood,482430,4
596,1998,Wood,123125,3
597,1967,Brick,140892,3
598,1969,Brick and Wood,352246,4
599,1930,Wood,386304,4
600,1992,Brick and Wood,399616,4
601,1961,Brick and Wood,162415,4
602,1989,Brick and Wood,210411,3
603,1999,Brick and Wood,305337,3
604,1997,Brick and Wood,227244,4
605,1964,Wood,236068,3
606,2008,Brick,456804,3
607,1983,Wood,188273,4
608,1944,Brick,152992,4
609,1958,Wood,259261,4
610,1930,Brick and Wood,241653,4
611,1975,Wood,251417,4
612,2000,Wood,278387,3
613,1941,Brick,408339,4
614,1982,Brick,248257,4
615,1996,Wood,392395,3
616,1958,Wood,134212,4
617,2002,Wood,403648,4
618,1955,Wood,184828,4
619,1978,Brick and Wood,334406,3
620,1959,Wood,77688,4
621,1942,Brick,113762,4
622,1974,Wood,68833,4
623,1953,Brick and Wood,470151,3
624,2011,Brick,284226,4
625,1951,Wood,267615,4
626,1976,Brick,279480,4
627,1942,Wood,331607,4
628,1981,Brick,230367,3
629,2008,Brick,127798,3
630,1970,Brick and Wood,419087,3
631,1948,Brick,215930,3
632,2014,Wood,183726,4
633,1978,Brick,53047,4
634,1997,Brick,377202,3
635,1956,Wood,497532,3
636,1983,Wood,396777,4
637,1958,Wood,489100,4
638,1959,Brick and Wood,75888,3
639,1932,Brick,240183,4
640,1971,Brick,475744,3
641,2012,Wood,434070,3
642,1948,Brick,125776,3
643,1930,Brick,163832,3
644,1963,Brick and Wood,248948,3
645,1990,Brick and Wood,31905,3
646,1972,Brick and Wood,166780,3
647,1991,Brick and Wood,201276,3
648,1932,Brick and Wood,188655,4
649,1965,Wood,412922,3
650,1958,Brick,68932,4
651,2005,Wood,141092,3
652,1955,Brick,446566,4
653,1965,Brick,109915,3
654,1998,Brick and Wood,213422,3
655,1936,Brick and Wood,217157,4
656,1957,Brick and Wood,498082,3
657,1961,Wood,50926,4
658,1972,Wood,458565,4
659,2002,Brick,52827,4
660,2000,Brick,470586,3
661,1933,Brick,165783,3
662,1957,Brick,449975,4
663,1994,Wood,274517,4
664,1975,Brick,171393,4
665,1968,Wood,371653,4
666,1980,Brick,429632,4
667,1942,Brick,480528,4
668,2009,Brick and Wood,245184,4
669,1971,Wood,364224,4
670,1991,Wood,153924,4
671,1979,Brick,358964,4
672,2005,Brick,210334,4
673,1978,Brick and Wood,55769,3
674,1989,Brick and Wood,59989,4
675,1954,Wood,229931,3
676,1947,Brick,374709,3
677,1951,Wood,401825,4
678,1952,Brick and Wood,288333,3
679,1984,Brick and Wood,328821,3
680,2007,Wood,150151,3
681,2005,Brick,476785,4
682,2009,Brick,37899,4
683,2003,Brick and Wood,53818,4
684,1957,Wood,495113,3
685,1972,Brick,155544,3
686,2014,Brick and Wood,172000,4
687,2008,Wood,41593,4
688,1953,Brick and Wood,491467,4
689,1989,Brick,126060,4
690,1994,Brick,105281,3
691,1945,Wood,274758,3
692,1958,Brick,404530,3
693,1952,Brick,320645,3
694,1932,Brick and Wood,408478,3
695,1945,Brick,299307,4
696,1950,Brick and Wood,303795,3
697,1932,Brick and Wood,497333,3
698,2002,Wood,495263,3
699,1979,Wood,476408,4
700,1936,Brick,470838,3
701,1973,Wood,374365,4
702,1964,Wood,413090,3
703,1946,Wood,207123,4
704,2010,Brick and Wood,72003,3
705,1988,Wood,209453,4
706,1965,Brick and Wood,357415,4
707,1952,Brick and Wood,414531,4
708,2009,Brick,467022,4
709,2012,Wood,132377,3
710,1976,Brick and Wood,121120,4
711,1996,Wood,482153,3
712,1970,Brick and Wood,136253,3
713,1971,Brick and Wood,499512,3
714,1945,Brick,169505,4
715,1968,Brick and Wood,293286,4
716,1945,Brick,221528,4
717,1960,Brick and Wood,209820,3
718,2002,Brick and Wood,188846,3
719,1975,Brick,254281,3
720,1947,Wood,162416,4
721,2014,Wood,396614,4
722,1950,Brick,32776,4
723,1972,Wood,129975,4
724,1984,Brick and Wood,69883,3
725,1999,Brick,174575,4
726,2003,Brick,293261,3
727,1956,Wood,476457,4
728,2016,Brick and Wood,390285,3
729,1964,Wood,289928,3
730,1942,Wood,320606,4
731,1958,Brick,102425,4
732,1932,Brick and Wood,249366,3
733,1982,Brick and Wood,468098,4
734,1931,Wood,355999,4
735,1986,Brick,128790,3
736,1987,Brick and Wood,361600,3
737,1995,Wood,289716,3
738,1943,Brick,174361,3
739,1933,Wood,260648,4
740,1965,Brick and Wood,137818,4
741,1981,Wood,60797,4
742,1947,Wood,302333,3
743,1936,Brick and Wood,392725,3
744,1976,Brick,330125,3
745,1989,Wood,166563,3
746,1940,Brick,408998,4
747,2008,Brick and Wood,44739,3
748,1984,Brick and Wood,274697,3
749,2008,Brick and Wood,41999,4
750,1939,Brick and Wood,452677,3
751,1987,Wood,253735,3
752,2012,Brick and Wood,80301,3
753,1971,Brick and Wood,409870,4
754,1988,Brick and Wood,137374,4
755,2016,Brick and Wood,210568,3
756,1998,Brick,255424,4
757,2005,Wood,463287,3
758,1975,Brick and Wood,376661,3
759,1950,Brick,179481,4
760,1953,Wood,142128,3
761,1933,Brick and Wood,381303,3
762,1990,Brick,322933,4
763,1951,Brick,459442,4
764,1981,Brick,346308,4
765,1980,Wood,393496,4
766,1948,Wood,496723,3
767,1970,Brick and Wood,284028,3
768,1969,Brick,293532,3
769,1943,Brick and Wood,280357,3
770,2010,Wood,199378,4
771,2000,Brick,244030,4
772,2002,Brick and Wood,303881,4
773,1993,Brick,77021,4
774,1961,Wood,127785,4
775,2003,Brick and Wood,128076,3
776,1998,Brick,258229,4
777,1967,Wood,451067,3
778,2006,Brick and Wood,47233,3
779,1953,Brick,96552,4
780,1960,Brick,58918,3
781,1985,Brick,101801,4
782,2005,Brick and Wood,239191,4
783,1938,Wood,196205,3
784,1996,Wood,96852,3
785,1960,Brick,121372,4
786,1990,Brick,244848,3
787,2001,Brick,355329,4
788,1985,Brick,353251,4
789,1995,Brick,222649,4
790,1991,Brick,223649,4
791,1985,Brick,56068,3
792,1976,Wood,60006,3
793,1985,Wood,442656,3
794,1945,Wood,245937,3
795,1948,Brick and Wood,401133,4
796,1940,Brick,462166,3
797,1992,Wood,477610,3
798,2012,Brick and Wood,64710,3
799,1999,Brick,95285,4
800,1949,Brick and Wood,109363,4
801,1996,Brick,142167,4
802,2003,Brick,379611,3
803,1946,Brick,69850,3
804,1981,Wood,244396,4
805,1965,Wood,270259,3
806,2000,Wood,424029,3
807,2011,Wood,54273,4
808,1978,Brick and Wood,428592,3
809,1999,Brick,424139,4
810,1967,Brick and Wood,168600,3
811,1931,Brick,181945,4
812,1955,Wood,231683,3
813,1996,Brick,402248,4
814,1962,Wood,359317,3
815,1933,Wood,244903,4
816,1939,Wood,418325,4
817,1935,Wood,480802,4
818,2010,Brick and Wood,389789,4
819,1947,Brick and Wood,242015,4
820,1986,Wood,314142,4
821,2005,Wood,71053,4
822,1969,Wood,279778,4
823,2004,Brick,288450,3
824,1947,Wood,141480,4
825,1931,Wood,328374,3
826,1948,Brick,458518,3
827,1969,Wood,435679,4
828,1979,Wood,158600,4
829,1968,Brick and Wood,426748,3
830,1988,Wood,414167,4
831,1940,Wood,309232,4
832,1936,Wood,398601,4
833,1961,Brick and Wood,394583,3
834,1961,Brick and Wood,488977,4
835,1947,Brick,77235,4
836,2015,Brick,242062,4
837,2005,Brick,205698,4
838,1940,Wood,329417,4
839,1948,Brick,220998,3
840,1994,Wood,308631,4
841,1997,Brick,345764,4
842,2003,Wood,483998,4
843,1986,Brick,62298,4
844,1931,Brick and Wood,444284,4
845,1957,Brick and Wood,452188,4
846,2003,Wood,191422,4
847,2003,Wood,58210,3
848,1974,Wood,359775,4
849,1988,Brick,103226,3
850,1932,Wood,260349,3
851,1988,Brick,62137,3
852,1948,Brick and Wood,339016,4
853,1936,Wood,96955,3
854,1975,Wood,415030,3
855,1999,Brick and Wood,66005,4
856,1991,Brick,153478,4
857,1969,Brick,336271,3
858,1954,Brick and Wood,358508,4
859,1950,Brick and Wood,374505,4
860,1961,Wood,330304,4
861,1954,Brick and Wood,60718,3
862,1974,Brick,35337,3
863,1992,Brick and Wood,441532,4
864,1960,Brick and Wood,163717,3
865,1970,Wood,353812,3
866,1951,Brick,403833,4
867,1953,Wood,480655,4
868,1975,Brick and Wood,71343,4
869,1959,Wood,212654,3
870,1978,Brick and Wood,232068,3
871,1965,Wood,306398,4
872,1982,Brick and Wood,252031,4
873,1944,Brick and Wood,211794,3
874,1985,Wood,280559,3
875,2012,Brick and Wood,270081,3
876,1987,Brick and Wood,78086,4
877,1997,Brick,363687,4
878,1940,Brick and Wood,188654,4
879,1952,Brick and Wood,139958,4
880,1982,Brick,311634,4
881,2015,Brick and Wood,42599,4
882,1998,Brick and Wood,144416,4
883,1943,Brick,154200,3
884,1934,Brick,166187,3
885,1961,Brick,115636,3
886,1982,Brick,429277,4
887,2015,Brick,373248,4
888,1943,Wood,376306,4
889,1944,Brick,286062,4
890,2014,Brick,437110,4
891,1942,Brick,483737,4
892,1967,Brick and Wood,343971,4
893,2004,Wood,72105,3
894,1954,Brick,303958,3
895,1941,Wood,464672,4
896,2014,Brick and Wood,302674,4
897,2012,Brick,459335,4
898,2001,Brick,65395,3
899,2016,Brick and Wood,476201,3
900,1991,Brick and Wood,161965,4
901,2009,Wood,111604,3
902,1992,Brick,313413,3
903,1979,Brick and Wood,151003,3
904,2016,Brick,37842,4
905,1944,Brick,399148,4
906,1951,Wood,477163,3
907,1989,Brick and Wood,380906,3
908,1964,Brick,138259,3
909,1969,Brick and Wood,141944,4
910,1988,Brick and Wood,452656,4
911,1978,Wood,107233,3
