reportno,vin,repaircost
491,1234577983,6452
492,1234645793,4189
493,1234640051,10992
494,1234636815,18920
495,1234608479,17693
496,1234589822,13255
497,1234601016,18015
498,1234573673,7829
499,1234593282,9090
500,1234607049,11751
501,1234641620,4526
502,1234667079,6340
503,1234667624,14496
504,1234579834,9687
505,1234629305,15777
506,1234643393,7023
507,1234643507,19779
508,1234663388,5542
509,1234644946,13396
510,1234629429,17900
511,1234583646,11229
512,1234654496,2308
513,1234625785,12519
514,1234661557,4203
515,1234613819,2705
516,1234664527,15341
517,1234650663,14763
518,1234654824,11699
519,1234594883,4718
520,1234584075,17018
521,1234662982,2427
522,1234642087,4352
523,1234583303,15460
524,1234658967,5235
525,1234616741,5256
526,1234628018,7003
527,1234592755,8559
528,1234620559,7231
529,1234618377,8299
530,1234624368,4949
531,1234632677,12117
532,1234609500,14864
533,1234618887,13977
534,1234653743,2004
535,1234572620,12050
536,1234583224,16808
537,1234575858,12842
538,1234585923,11813
539,1234586415,4510
540,1234570658,6846
541,1234660110,12301
542,1234602056,18173
543,1234583386,13551
544,1234659905,5377
545,1234606582,2802
546,1234640211,10621
547,1234600159,10209
548,1234598050,13186
549,1234618135,17519
550,1234575290,19908
551,1234594773,16470
552,1234641545,13163
553,1234619765,7172
554,1234628929,10276
555,1234611511,14909
556,1234624750,19055
557,1234600520,17257
558,1234617834,3312
559,1234666634,2483
560,1234570877,11246
561,1234573505,7227
562,1234570066,4560
563,1234648733,19775
564,1234606792,18391
565,1234629581,15139
566,1234610814,3493
567,1234568604,17208
568,1234656266,11677
569,1234569646,11047
570,1234647840,15204
571,1234613288,15693
572,1234665601,9689
573,1234663001,18081
574,1234587574,7098
575,1234621437,8802
576,1234625448,16248
577,1234605192,12303
578,1234636817,2291
579,1234592414,3031
580,1234587516,19023
581,1234588878,6328
582,1234612673,11960
583,1234643496,9179
584,1234582493,8132
585,1234651873,19417
586,1234666778,15326
587,1234571585,3311
588,1234643407,16589
589,1234619642,11062
590,1234571486,18123
591,1234659942,15735
592,1234608974,4426
593,1234647215,15144
594,1234620531,11335
595,1234604275,10908
596,1234631978,16194
597,1234574715,10574
598,1234597883,13517
599,1234619634,16567
600,1234664197,15392
601,1234653695,4680
602,1234573157,12017
603,1234606964,18297
604,1234637379,10471
605,1234647230,5265
606,1234598350,11639
607,1234618720,19525
608,1234598613,8744
609,1234586386,16152
610,1234604854,10805
611,1234573307,14165
612,1234638160,6437
613,1234648109,14408
614,1234596719,6618
615,1234655958,2646
616,1234623584,17796
617,1234636167,18531
618,1234641388,7647
619,1234611013,7626
620,1234604364,17594
621,1234609140,7200
622,1234618731,9181
623,1234613114,14403
624,1234589651,18189
625,1234649681,16071
626,1234624450,9850
627,1234599306,7974
628,1234657554,18111
629,1234653735,5333
630,1234615291,7919
631,1234655473,19848
632,1234665915,7145
633,1234581412,12051
634,1234647091,13801
635,1234586289,2283
636,1234576949,14107
637,1234648447,19846
638,1234621556,2440
639,1234576329,3437
640,1234588263,13960
641,1234634154,2784
642,1234627314,2155
643,1234650751,11704
644,1234648749,7389
645,1234578686,13630
646,1234596663,10635
647,1234598075,8053
648,1234614362,5890
649,1234636603,3833
650,1234623313,14065
651,1234595580,11762
652,1234582345,15246
653,1234636462,17534
654,1234650628,4707
655,1234626880,17496
656,1234582054,6058
657,1234663234,7914
658,1234644370,18924
659,1234644234,10019
660,1234574984,13293
661,1234616155,5070
662,1234604243,12458
663,1234626424,2857
664,1234667998,19004
665,1234583669,4734
666,1234667056,4147
667,1234656733,9034
668,1234586730,12394
669,1234595573,12649
670,1234616435,7012
671,1234572411,2015
672,1234578095,18673
673,1234659021,18638
674,1234584141,17021
675,1234639203,19579
676,1234666057,18111
677,1234576327,12225
678,1234662882,11637
679,1234605097,3409
680,1234627497,19115
681,1234596042,6166
682,1234638173,13520
683,1234630941,15555
684,1234669759,19514
685,1234568841,8439
686,1234615479,8137
687,1234577577,2632
688,1234641723,14918
689,1234616328,16350
690,1234614376,14835
691,1234584930,18556
692,1234639004,15596
693,1234628393,16208
694,1234599166,16988
695,1234594047,4857
696,1234654273,8302
697,1234611961,10252
698,1234664862,6672
699,1234656252,10694
700,1234591919,9193
701,1234664624,19690
702,1234603475,4645
703,1234584005,16730
704,1234622006,8884
705,1234608006,18405
706,1234659839,13394
707,1234658593,3991
708,1234661678,7566
709,1234615979,3291
710,1234648706,6931
711,1234600535,16639
712,1234649563,13533
713,1234601865,14466
714,1234622717,5094
715,1234633332,14973
716,1234576420,16549
717,1234615772,5020
718,1234597747,14356
719,1234578893,2750
720,1234636107,12267
721,1234636938,10368
722,1234645422,3448
723,1234608407,11148
724,1234660796,18842
725,1234640796,6499
726,1234667522,7223
727,1234574789,13593
728,1234592631,9164
729,1234573650,16337
730,1234664715,2404
731,1234636975,5553
732,1234592442,3236
733,1234570472,7156
734,1234631500,19765
735,1234627976,17573
736,1234628275,3010
737,1234668801,15989
738,1234611286,11720
739,1234632354,9599
740,1234603744,7796
741,1234643313,6906
742,1234581172,7371
743,1234590519,9704
744,1234627539,17969
745,1234635252,7070
746,1234596676,5403
747,1234653626,19675
748,1234636966,19045
749,1234641296,16222
750,1234582694,8803
751,1234657494,14801
752,1234630129,3998
753,1234594800,8554
754,1234652762,12440
755,1234629807,4405
756,1234574016,18468
757,1234669529,12064
758,1234625167,8826
759,1234660327,8071
760,1234586269,12688
761,1234649741,10749
762,1234576280,15417
763,1234581883,14850
764,1234614407,17805
765,1234647283,10327
766,1234635271,13679
767,1234591222,5472
768,1234597247,8399
769,1234612585,4097
770,1234645770,11894
771,1234661143,19424
772,1234662335,14214
773,1234597771,18622
774,1234657876,15270
775,1234584585,10044
776,1234632643,19414
777,1234611202,4401
778,1234584465,3391
779,1234588316,5700
780,1234626912,16273
781,1234612379,10056
782,1234587715,8716
783,1234608152,19651
784,1234607006,17278
785,1234601938,19158
786,1234649541,7002
787,1234605134,7994
788,1234618733,16726
789,1234590765,13614
790,1234615278,17994
791,1234665172,10323
792,1234633134,12800
793,1234669358,15120
794,1234608057,9065
795,1234625370,18529
796,1234573672,10177
797,1234642651,16527
798,1234610284,3717
799,1234624482,10376
800,1234662150,5564
801,1234568504,7193
802,1234643944,15415
803,1234609309,18788
804,1234583457,9934
805,1234662829,6041
806,1234649792,3314
807,1234651797,19579
808,1234654883,11278
809,1234669881,19479
810,1234646178,3892
811,1234635697,11034
812,1234587433,3601
813,1234584433,11104
814,1234614107,10707
815,1234595455,16541
816,1234577429,13030
817,1234658750,14753
818,1234640349,17446
819,1234642673,5296
820,1234604808,11652
821,1234571685,4274
822,1234593595,8436
823,1234637945,11979
824,1234634948,10000
825,1234595890,8943
826,1234610934,19091
827,1234635927,16449
828,1234633572,17483
829,1234669625,3340
830,1234669329,5726
831,1234621959,6453
832,1234585982,6008
833,1234608155,16002
834,1234658670,7420
835,1234639498,11286
836,1234637359,2748
837,1234645609,6365
838,1234578865,5282
839,1234660207,12658
840,1234660708,3624
841,1234663575,7842
842,1234646871,3070
843,1234576930,15499
844,1234597963,13904
845,1234638000,9176
846,1234580375,4737
847,1234634088,2547
848,1234603205,19187
849,1234573657,11233
850,1234615466,7537
851,1234665813,18853
852,1234658878,13545
853,1234613766,14440
854,1234625721,6479
855,1234611872,9070
856,1234581920,8837
857,1234617911,17832
858,1234651287,2797
859,1234604535,7786
860,1234589472,14173
861,1234598266,15338
862,1234610222,13297
863,1234597249,9095
864,1234598180,18553
865,1234611615,15122
866,1234631817,7135
867,1234619012,13126
868,1234647448,13410
869,1234605962,13402
870,1234649953,7950
871,1234605222,13325
872,1234589458,14484
873,1234621353,12913
874,1234633168,15996
875,1234568585,17326
876,1234623364,6266
877,1234606703,18370
878,1234639228,2705
879,1234656708,18544
880,1234655783,15686
881,1234574718,18418
882,1234608128,11686
883,1234666105,8653
884,1234611760,9636
885,1234661101,2673
886,1234648618,15371
887,1234660062,17853
888,1234583060,5057
889,1234581531,11187
890,1234578726,15736
891,1234632280,17875
892,1234652228,15287
893,1234616413,9167
894,1234599957,19176
895,1234620960,4605
896,1234661716,18877
897,1234616054,8096
898,1234579044,7989
899,1234613237,3279
900,1234619406,4188
901,1234595219,9691
902,1234665108,17621
903,1234623338,8985
904,1234579990,4985
905,1234628961,7723
906,1234620032,16202
907,1234659174,3260
908,1234627517,10719
909,1234637753,11242
910,1234667296,9242
911,1234591451,12819
912,1234601115,13661
913,1234579062,18785
914,1234583682,14309
915,1234640103,11373
916,1234588111,5132
917,1234646395,6568
918,1234610258,13225
919,1234585344,4826
920,1234575659,8448
921,1234576388,4698
922,1234654207,2743
923,1234656928,16362
924,1234620583,3938
925,1234619562,11445
926,1234614081,6183
927,1234637443,14781
928,1234651084,3890
929,1234631429,7777
930,1234646535,18577
931,1234607082,8922
932,1234638918,4505
933,1234594421,18490
934,1234643903,5639
935,1234580596,14079
936,1234573709,6549
937,1234662023,19681
938,1234608444,11512
939,1234602298,3587
940,1234668566,11746
941,1234632523,16789
942,1234621925,18911
943,1234608225,19440
944,1234637446,18467
945,1234649396,18056
946,1234651429,4973
947,1234652350,10897
948,1234591837,11360
949,1234598144,2200
950,1234618751,13141
951,1234625126,8357
952,1234656153,8270
953,1234594482,18356
954,1234658826,15890
955,1234572974,4653
956,1234614376,11530
957,1234581487,13040
958,1234640372,9039
959,1234599994,2178
960,1234628306,14640
961,1234592541,15433
962,1234669382,16061
963,1234666322,2962
964,1234594069,16147
965,1234656004,15749
966,1234597097,18299
967,1234654098,4463
968,1234640715,18286
969,1234642884,14402
970,1234636564,10720
971,1234570437,12224
972,1234583009,19155
973,1234639472,12847
974,1234586986,4964
975,1234651624,9758
976,1234601242,8233
977,1234653696,7432
978,1234581776,10861
979,1234653476,19373
980,1234614082,2281
981,1234573000,11083
982,1234576835,9174
983,1234607506,11653
984,1234665222,18502
985,1234599973,10867
986,1234636343,10859
987,1234646418,6762
988,1234582454,4580
989,1234642060,13908
990,1234601876,19769
991,1234633914,13867
992,1234646479,5746
993,1234654685,9289
994,1234629310,8766
995,1234622794,2541
996,1234594243,14463
997,1234668306,2660
998,1234630713,17468
999,1234585205,15428
1000,1234658380,4349
1001,1234590722,19099
1002,1234570999,6437
1003,1234633895,17270
1004,1234596457,7765
1005,1234655090,19224
1006,1234619120,3590
1007,1234615907,12723
1008,1234640099,15315
1009,1234632873,19215
1010,1234600725,17107
1011,1234631320,8167
1012,1234598977,6344
1013,1234647256,19908
1014,1234629711,4896
1015,1234627508,12155
1016,1234650217,3612
1017,1234661632,2076
1018,1234575416,9359
1019,1234572449,7292
1020,1234642651,16473
1021,1234577363,5049
1022,1234589564,7986
1023,1234664724,19006
1024,1234580858,7657
1025,1234619108,16314
1026,1234583781,18670
1027,1234655095,4483
1028,1234626222,9361
1029,1234663144,18344
1030,1234603979,19809
1031,1234581820,7418
1032,1234649000,18490
1033,1234632682,4829
1034,1234651851,15903
1035,1234622320,12880
1036,1234568255,3073
1037,1234658319,3736
1038,1234666305,15116
1039,1234581337,12356
1040,1234634376,6558
1041,1234580663,2833
1042,1234668334,15070
1043,1234587898,18924
1044,1234630729,12321
1045,1234590738,6478
1046,1234618769,9910
1047,1234610802,14254
1048,1234640649,12645
1049,1234585221,7735
1050,1234662376,6625
1051,1234626653,15292
1052,1234645579,11600
1053,1234617527,12746
1054,1234588654,12578
1055,1234653362,14625
1056,1234653698,12098
1057,1234600054,18750
1058,1234620466,6944
1059,1234627786,9286
1060,1234641203,16881
1061,1234654510,15854
1062,1234589370,14810
1063,1234596043,14570
1064,1234642111,18767
1065,1234575760,2136
1066,1234592158,8578
1067,1234632550,6152
1068,1234659289,11322
1069,1234653374,5973
1070,1234654796,13969
1071,1234652157,12642
1072,1234646237,17273
1073,1234640415,15885
1074,1234646874,3727
1075,1234668908,16656
1076,1234648630,8132
1077,1234637429,5863
1078,1234584376,10487
1079,1234593766,2562
1080,1234667673,9493
1081,1234654757,4264
1082,1234576227,17773
1083,1234605284,11293
1084,1234666994,11260
1085,1234661311,5645
1086,1234574063,7258
1087,1234620728,3333
1088,1234583878,8488
1089,1234591453,10710
1090,1234643956,12725
1091,1234584342,5270
1092,1234581959,6228
1093,1234586092,18917
1094,1234611089,13942
1095,1234647615,7040
1096,1234662078,18500
1097,1234593591,4516
1098,1234668711,4091
1099,1234626591,6045
1100,1234669286,11489
1101,1234629388,7158
1102,1234655783,15914
1103,1234588007,2538
1104,1234650298,4732
1105,1234577081,16274
1106,1234585849,14378
1107,1234624991,11386
1108,1234590455,14414
1109,1234652807,2235
1110,1234663140,14537
1111,1234577410,15926
1112,1234596529,11675
1113,1234633329,2191
1114,1234583097,2997
1115,1234633026,4192
1116,1234582720,11212
1117,1234659005,19065
1118,1234615455,15931
1119,1234596074,15926
1120,1234659934,2450
1121,1234571818,17405
1122,1234607491,4679
1123,1234579506,17480
1124,1234612001,9168
1125,1234609812,18852
1126,1234569549,17790
1127,1234606013,10658
1128,1234596283,9100
1129,1234612125,8758
1130,1234625040,10745
1131,1234583905,16657
1132,1234590081,18053
1133,1234653868,12186
1134,1234636926,11040
1135,1234604511,16159
1136,1234649378,12657
1137,1234669118,9361
1138,1234662939,17505
1139,1234632986,3654
1140,1234568773,6856
1141,1234663154,11360
1142,1234627633,10699
1143,1234636492,12027
1144,1234645271,14572
1145,1234613038,13069
1146,1234656402,17191
1147,1234618188,16627
1148,1234577638,4220
1149,1234654257,18097
1150,1234606716,6818
1151,1234614581,5923
1152,1234650527,2666
1153,1234616256,7745
1154,1234574741,5304
1155,1234657564,15546
1156,1234624474,6966
1157,1234655678,19669
1158,1234615210,6452
1159,1234584307,3174
1160,1234626359,8454
1161,1234580096,6876
1162,1234578822,8553
1163,1234626539,17475
1164,1234619779,11771
1165,1234649093,2328
1166,1234634755,19287
1167,1234633947,13785
1168,1234645731,15928
1169,1234636437,3385
1170,1234611464,19932
1171,1234604364,11116
1172,1234657465,13475
1173,1234625915,11083
1174,1234582897,2384
1175,1234568675,18051
1176,1234618982,15136
1177,1234611329,14758
1178,1234618913,8172
1179,1234655477,19220
1180,1234613211,19579
1181,1234590024,9177
1182,1234666042,8601
1183,1234644727,2936
1184,1234638955,16321
1185,1234625285,10448
1186,1234614589,2910
1187,1234575677,15302
1188,1234633658,16460
1189,1234640452,17125
1190,1234646838,5913
1191,1234588017,16931
1192,1234569880,11588
1193,1234642315,16099
1194,1234584324,11569
1195,1234589492,9279
1196,1234606339,5792
1197,1234647242,18741
1198,1234585303,11532
1199,1234624991,6577
1200,1234584510,6588
1201,1234585015,6936
1202,1234594857,4761
1203,1234666879,15143
1204,1234617204,15170
1205,1234635014,18004
1206,1234621045,15572
1207,1234600920,3349
1208,1234652209,3037
1209,1234604951,5258
1210,1234653772,3106
1211,1234631379,14068
1212,1234649569,14278
1213,1234656350,8309
1214,1234650612,15043
1215,1234615350,7725
1216,1234635520,12596
1217,1234595229,13123
1218,1234602790,4087
1219,1234596548,7652
1220,1234571835,9701
1221,1234621971,4816
1222,1234649345,6360
1223,1234624348,5507
1224,1234667560,13099
1225,1234568959,4783
1226,1234604775,11997
1227,1234609241,5444
1228,1234602114,13131
1229,1234614657,3015
1230,1234583380,7278
1231,1234651543,5738
1232,1234650784,19638
1233,1234597544,5101
1234,1234585935,8258
1235,1234619724,11829
1236,1234578513,7794
1237,1234584950,9097
1238,1234621604,19444
1239,1234611038,2408
1240,1234585294,6725
1241,1234653548,14867
1242,1234598295,10044
1243,1234653242,15402
1244,1234662262,7470
1245,1234626017,2925
1246,1234613224,2737
1247,1234592329,19689
1248,1234643509,15579
1249,1234609521,8331
1250,1234645227,18593
1251,1234622381,13314
1252,1234639237,15067
1253,1234610054,11404
1254,1234602792,16582
1255,1234634431,18803
1256,1234590503,16061
1257,1234579613,11630
1258,1234617473,14822
1259,1234623881,14665
1260,1234642356,12086
1261,1234653221,15241
1262,1234585613,7958
1263,1234600634,18877
1264,1234631845,17333
1265,1234657606,7287
1266,1234633893,4710
1267,1234577856,12772
1268,1234627705,3827
1269,1234570952,7419
1270,1234656870,8609
1271,1234569415,9152
1272,1234639237,17031
1273,1234571136,15946
1274,1234597398,11678
1275,1234588992,5822
1276,1234629202,7032
1277,1234652904,9471
1278,1234644342,13579
1279,1234663398,11881
1280,1234623736,8090
1281,1234603752,6622
1282,1234639368,8411
1283,1234631037,7401
1284,1234627628,14935
1285,1234629537,16357
1286,1234583994,18187
1287,1234649140,4850
1288,1234649804,4927
1289,1234596173,12228
1290,1234629499,7986
1291,1234626557,8388
1292,1234579307,10801
1293,1234663424,6388
1294,1234572758,5010
1295,1234595816,13529
1296,1234665568,14675
1297,1234613453,7555
1298,1234603629,15625
1299,1234618481,6811
1300,1234622645,3869
1301,1234669528,19063
1302,1234629480,13225
1303,1234650231,3030
1304,1234588248,17553
1305,1234650212,15736
1306,1234597687,2915
1307,1234652410,15983
1308,1234605224,17695
1309,1234662212,19652
1310,1234577831,9427
1311,1234604307,14907
1312,1234610327,12457
1313,1234571637,12611
1314,1234576770,7132
1315,1234614023,11720
1316,1234589211,15203
1317,1234618129,3848
1318,1234663809,7469
1319,1234595098,4959
1320,1234641189,7480
1321,1234602433,15027
1322,1234656586,10113
1323,1234576326,10924
1324,1234607954,18039
1325,1234631401,7696
1326,1234602749,3728
1327,1234665712,15014
1328,1234625932,10564
1329,1234651808,3702
1330,1234586028,12059
1331,1234616808,9388
1332,1234592078,12921
1333,1234581145,8753
1334,1234568893,2137
1335,1234645120,13215
1336,1234634219,10648
1337,1234634896,2739
1338,1234643420,6133
1339,1234575480,2642
1340,1234612067,13846
1341,1234627930,13532
1342,1234661913,3219
1343,1234653769,5116
1344,1234634619,11529
1345,1234640097,5374
1346,1234586645,5061
1347,1234637222,11298
1348,1234642582,12179
1349,1234642864,12577
1350,1234590421,17246
1351,1234598522,11910
1352,1234584477,7449
1353,1234631455,17886
1354,1234642916,16412
1355,1234575134,5799
1356,1234625076,8915
1357,1234617775,5573
1358,1234580663,12969
1359,1234624214,8891
1360,1234638167,6778
1361,1234669967,11328
