reportno,date,description,street ,zipcode
53,2015-03-29,Not Customer's fault,270 I-79 RAMP KIRWAN HW,60370
54,2016-06-14,Customer's fault,271 148 HW,60371
55,2014-10-14,Customer's fault,272 WASHINGTON PK,60372
56,2015-10-27,Everyone's fault,273 THORN RUN ROAD ET,60373
57,2014-08-15,Everyone's fault,274 HILLTOP RD,60374
58,2015-01-27,Everyone's fault,275 FREEPORT RD,60375
59,2014-04-13,Customer's fault,276 BROWNSVILLE RD,60376
60,2016-08-20,Everyone's fault,277 STEUBEN ST,60377
61,2015-09-10,Not Customer's fault,278 CAROTHERS AV,60378
62,2014-12-28,Customer's fault,279 WILLIAM PENN HW,60379
63,2015-11-08,Everyone's fault,280 VANADIUM RD,60380
64,2014-11-23,Not Customer's fault,281 LINCOLN HW,60381
65,2014-05-13,Everyone's fault,353 BROWN RD,60453
66,2014-12-31,Not Customer's fault,354 FERN HOLLOW RD,60454
67,2015-02-08,Customer's fault,355 WALNUT ST,60455
68,2014-12-16,Not Customer's fault,356 WASHINGTON RD,60456
69,2014-08-01,Not Customer's fault,357 WARRENDALE-BAYNE RD,60457
70,2016-09-21,Not Customer's fault,358 WALL AV,60458
71,2015-12-29,Everyone's fault,359 BOWER HILL RD,60459
72,2014-12-31,Not Customer's fault,360 N BALPH AVE AV,60460
73,2016-05-02,Customer's fault,361 GREENTREE RD,60461
74,2015-03-08,Everyone's fault,362 WILLIAM FLYNN HW,60462
75,2016-01-31,Not Customer's fault,363 WEST MAIN ST,60463
76,2016-10-10,Not Customer's fault,364 EAST OHIO ST,60464
77,2016-07-14,Everyone's fault,365 GREENTREE RD,60465
78,2015-10-11,Not Customer's fault,366 8TH AV,60466
79,2016-03-19,Everyone's fault,367 MT. ROYAL BL,60467
80,2016-10-20,Everyone's fault,368 WASHINGTON PK,60468
81,2015-08-02,Customer's fault,369 CURRY HOLLOW RD,60469
82,2015-11-02,Customer's fault,370 CHESTNUT ST,60470
83,2015-09-12,Not Customer's fault,371 DUQUESNE MCKEESPORT BRIDGE BR,60471
84,2015-07-15,Customer's fault,372 THOMS RUN ROAD RD,60472
85,2014-07-29,Everyone's fault,373 OHIO RIVER BL,60473
86,2016-11-22,Customer's fault,374 EDEN PARK BL,60474
87,2014-09-22,Not Customer's fault,375 FREEPORT RD,60475
88,2015-10-13,Everyone's fault,376 NORTH HOME AVE AV,60476
89,2016-07-05,Customer's fault,377 WEXFORD RD,60477
90,2016-08-18,Customer's fault,378 I279 OFF RAMP ST,60478
91,2016-08-24,Not Customer's fault,379 NOTTINGHAM DR,60479
92,2014-05-23,Everyone's fault,380 CLAIRTON BL,60480
93,2015-02-10,Not Customer's fault,381 FARRAGUT ST,60481
94,2014-07-31,Everyone's fault,382 WEXFORD-BAYNE RD,60482
95,2014-04-29,Everyone's fault,383 UNION AV,60483
96,2015-11-03,Not Customer's fault,384 SCENERY DR,60484
97,2015-04-08,Everyone's fault,385 BAKERSTOWN/WARRENDALE RD,60485
98,2014-07-06,Customer's fault,386 WASHINGTON RD,60486
99,2016-08-11,Not Customer's fault,387 MILLER AV,60487
100,2016-11-07,Everyone's fault,388 S.R. 30 HW,60488
101,2016-01-01,Customer's fault,389 LINDENWOOD DR,60489
102,2015-12-24,Not Customer's fault,390 GUYS RUN RD,60490
103,2015-12-09,Everyone's fault,391 RT.19 HW,60491
104,2015-07-26,Customer's fault,392 GIBSONIA RD,60492
105,2015-05-08,Customer's fault,393 FREEPORT RD. RD,60493
106,2015-05-11,Everyone's fault,517 MCKEESPORT BL,60617
107,2016-02-12,Customer's fault,518 OLD CLAIRTON RD,60618
108,2015-06-12,Not Customer's fault,519 THORN RUN RD,60619
109,2014-05-12,Everyone's fault,520 RIDC PARKWEST DR,60620
110,2015-04-29,Everyone's fault,521 RAINBOW RUN RD,60621
111,2014-09-17,Everyone's fault,522 NEW WM PENN HW,60622
112,2014-07-20,Everyone's fault,523 MCLAUGHLIN RUN RD,60623
113,2015-03-18,Everyone's fault,524 WASHINGTON PK,60624
114,2014-09-18,Everyone's fault,525 FIFTH AV,60625
115,2014-09-28,Not Customer's fault,526 GREENSBURG PK,60626
116,2015-07-20,Everyone's fault,527 STATE ST,60627
117,2015-01-09,Customer's fault,528 STREETS RUN RD,60628
118,2014-06-19,Everyone's fault,529 WILLIAM FLYNN HW,60629
119,2015-07-09,Everyone's fault,530 SR0910 HW,60630
120,2016-11-20,Not Customer's fault,531 WILLIAM FLYNN HW,60631
121,2015-04-22,Not Customer's fault,532 MOUNT ROYAL BL,60632
122,2015-01-20,Everyone's fault,533 CLAIRTON RD,60633
123,2014-12-15,Not Customer's fault,534 WARRENDALE BAYNE RD,60634
124,2016-06-19,Not Customer's fault,535 WILLIAM PENN HW,60635
125,2015-02-02,Not Customer's fault,536 BROADWAY BL,60636
126,2015-01-15,Not Customer's fault,537 WILLIAM FLYNN HW,60637
127,2016-06-25,Not Customer's fault,538 WASHINGTON RD,60638
128,2014-11-26,Customer's fault,539 PAINTERS RUN RD,60639
129,2016-08-31,Everyone's fault,540 WALMART DR,60640
130,2016-08-01,Everyone's fault,541 THORN RUN RD,60641
131,2014-12-27,Customer's fault,542 OHIO RIVER BL,60642
132,2016-09-12,Everyone's fault,543 MT ROYAL BL,60643
133,2016-07-08,Customer's fault,544 PERRY HW,60644
134,2016-03-16,Not Customer's fault,545 MT ROYAL BL,60645
135,2016-05-24,Customer's fault,546 WILLIAM PENN HW,60646
136,2016-08-11,Everyone's fault,547 WASHINGTON BL,60647
137,2015-12-21,Everyone's fault,548 CAROTHERS AV,60648
138,2016-11-29,Not Customer's fault,549 WILLIAM FLYNN HW,60649
139,2016-12-08,Customer's fault,1015 OHIO RIVER BL,61115
140,2016-08-10,Not Customer's fault,1016 LEBANON CHURCH RD,61116
141,2014-04-30,Customer's fault,1017 MOSSIDE BL,61117
142,2014-12-27,Not Customer's fault,1018 THOMS RUN RD,61118
143,2016-10-03,Customer's fault,"1019 RAMP ""D"" RD",61119
144,2016-03-08,Not Customer's fault,1020 CHURCHILL RD,61120
145,2014-12-29,Customer's fault,1021 WEST RUN RD,61121
146,2015-11-25,Customer's fault,1022 FORBES AV,61122
147,2014-08-01,Customer's fault,1023 LINCOLN HW,61123
148,2016-10-04,Everyone's fault,1024 EIGHTH AV,61124
149,2015-05-02,Everyone's fault,1025 WASHINGTON RD,61125
150,2014-05-02,Not Customer's fault,1026 RAYMOND P SHAFER HW,61126
151,2014-11-04,Customer's fault,1027 CLINTON AVE AV,61127
152,2015-07-30,Everyone's fault,1028 NAMSFIELD BRIDGE AV,61128
153,2015-07-17,Not Customer's fault,1029 FERN HOLLOW RD,61129
154,2016-01-26,Customer's fault,1030 CURRY HOLLOW RD,61130
155,2014-09-29,Not Customer's fault,1031 SAINT JAMES PL,61131
156,2015-12-26,Not Customer's fault,1032 POPLAR ST,61132
157,2014-08-01,Not Customer's fault,1033 MAPLE ST ET,61133
158,2014-09-08,Everyone's fault,1034 NOBLESTOWN RD,61134
159,2016-03-06,Customer's fault,1035 LIBERTY BR,61135
160,2015-08-16,Everyone's fault,1036 FLAUGHERTY RUN RD,61136
161,2014-11-06,Customer's fault,1037 LONGRUN RD,61137
162,2016-09-15,Not Customer's fault,1038 LONG RUN RD,61138
163,2014-07-03,Not Customer's fault,1039 GRANDVIEW AV,61139
164,2014-05-06,Customer's fault,1040 LINCOLN HW,61140
165,2016-03-18,Not Customer's fault,1041 PERRY HW,61141
166,2016-12-19,Customer's fault,1042 BAKERSTOWN/WARRENDALE RD,61142
167,2014-11-24,Customer's fault,1043 WILKINS AV,61143
168,2016-10-07,Everyone's fault,1044 PARKMAN AV,61144
169,2015-06-15,Everyone's fault,1045 BIGELOW BL,61145
170,2016-12-14,Everyone's fault,1046 PIONEER AV,61146
171,2016-02-14,Customer's fault,1047 ARLINGTON AV,61147
172,2014-05-23,Not Customer's fault,1048 BANKSVILLE RD,61148
173,2016-09-29,Not Customer's fault,1049 N. HOMEWOOD AV,61149
174,2016-08-16,Not Customer's fault,1050 PENN LINCOLN PY,61150
175,2016-11-12,Customer's fault,1051 GOLDEN MILE HW,61151
176,2015-08-13,Everyone's fault,1052 NEW TEXAS RD,61152
177,2014-11-08,Not Customer's fault,1053 UNITY TRESTLE RD,61153
178,2014-09-30,Everyone's fault,1054 LAKEWOOD DR,61154
179,2016-05-18,Everyone's fault,1055 CHESTNUT ST,61155
180,2016-12-19,Everyone's fault,1056 NOBLE AV,61156
181,2014-06-05,Everyone's fault,1057 MILLIGAN AV,61157
182,2016-12-17,Everyone's fault,1058 CLAIRTON BL,61158
183,2015-05-13,Not Customer's fault,1059 WILLIAM FLYNN HW,61159
184,2014-09-14,Not Customer's fault,1060 VANADIUM RD,61160
185,2016-06-09,Everyone's fault,1061 COOKS LN,61161
186,2016-05-07,Everyone's fault,1062 MT. ROYAL BL,61162
187,2016-03-10,Not Customer's fault,1063 RT 910 HW,61163
188,2016-11-06,Everyone's fault,1064 CAROTHERS AV,61164
189,2015-11-06,Not Customer's fault,1065 OHIO RIVER BL,61165
190,2014-07-25,Customer's fault,1066 CLAIRTON BL,61166
191,2015-12-10,Customer's fault,1067 EAST WATERFRONT DR,61167
192,2014-11-01,Everyone's fault,1068 NOBLESTOWN RD,61168
193,2015-05-05,Not Customer's fault,1069 WM FLYNN HW,61169
194,2015-03-20,Everyone's fault,1070 LINCOLN HW,61170
195,2016-05-01,Customer's fault,1071 CAVITT RD,61171
196,2014-12-15,Customer's fault,1072 MCKNIGHT RD,61172
197,2014-06-07,Customer's fault,1073 INGOMAR RD,61173
198,2015-09-23,Customer's fault,1074 FIFTH. AV,61174
199,2016-08-12,Customer's fault,1075 MIDDLE RD,61175
200,2016-03-10,Everyone's fault,1076 EVANS AV,61176
201,2016-12-14,Everyone's fault,1077 WASHINGTON RD,61177
202,2016-11-28,Customer's fault,1078 GREENTREE RD,61178
203,2016-11-07,Customer's fault,1079 RAINBOW RUN RD,61179
204,2014-09-29,Not Customer's fault,1080 CORBET ST,61180
205,2015-07-05,Not Customer's fault,1081 RT 8 HW,61181
206,2014-05-04,Everyone's fault,1082 CARNEGIE INT/RAMP E RD,61182
207,2015-12-08,Not Customer's fault,1083 MOSSIDE BL,61183
208,2016-09-25,Customer's fault,1084 HARDT RD,61184
209,2015-04-16,Everyone's fault,1085 GREENTREE RD,61185
210,2016-03-06,Not Customer's fault,1086 PERRY HW,61186
211,2015-09-22,Not Customer's fault,1087 GLENBURN DR,61187
212,2015-05-07,Everyone's fault,1088 PENN ST,61188
213,2014-05-02,Customer's fault,1089 PA TURNPIKE HW,61189
214,2014-07-31,Not Customer's fault,1090 PA TURNPIKE HW,61190
215,2014-12-01,Everyone's fault,1091 PA TURNPIKE HW,61191
216,2014-07-16,Everyone's fault,1092 OLD STATE RD,61192
217,2014-08-22,Customer's fault,1093 RAYMOND P SHAFER HW,61193
218,2016-11-03,Not Customer's fault,1094 PENN LINCOLN PY,61194
219,2014-10-02,Everyone's fault,1095 SQUIRREL HILL TN,61195
220,2014-11-30,Not Customer's fault,1096 WILDWOOD RD ET,61196
221,2015-07-08,Everyone's fault,1097 STOOPS FERRY RD,61197
222,2014-11-08,Not Customer's fault,1098 PENN LINCOLN PY,61198
223,2014-10-30,Customer's fault,1099 SOUTH NEGLEY AV,61199
224,2014-12-06,Not Customer's fault,1100 RAMP B HW,61200
225,2016-05-14,Customer's fault,1101 COAL VALLEY RD. #2 RD,61201
226,2014-11-30,Not Customer's fault,1102 CURRY HOLLOW RD,61202
227,2014-06-21,Everyone's fault,1103 BRODHEAD RD,61203
228,2016-01-03,Customer's fault,1104 LINCOLN AV,61204
229,2015-11-21,Everyone's fault,1105 HILLTOP RD,61205
230,2015-06-13,Not Customer's fault,1106 DORSEYVILLE RD,61206
231,2014-07-31,Not Customer's fault,1107 MONTOUR RUN RD,61207
232,2016-12-15,Customer's fault,1108 WIBLE RUN RD,61208
233,2015-02-06,Customer's fault,1109 MCMONAGLE AV,61209
234,2014-09-16,Not Customer's fault,1110 KENNYWOOD BL,61210
235,2015-01-07,Everyone's fault,1456 SANDUSKY ST,61556
236,2015-02-15,Not Customer's fault,1457 SAMPLE RD,61557
237,2014-09-22,Customer's fault,1458 HOLLOWTREE DR,61558
238,2016-04-26,Not Customer's fault,1459 EAST OHIO ST,61559
239,2016-07-05,Not Customer's fault,1460 VANADIUM RD,61560
240,2016-12-12,Customer's fault,1461 STREETS RUN RD,61561
241,2015-01-10,Not Customer's fault,1462 LAUREL HILL AV,61562
242,2015-03-15,Not Customer's fault,1463 HOMESTEAD GRAYS BRIDGE BR,61563
243,2015-09-06,Everyone's fault,1464 157 THORNHILL RD,61564
244,2014-05-13,Customer's fault,1465 FAIRVIEW RD,61565
245,2014-12-05,Everyone's fault,1466 EAST 8TH AV,61566
246,2014-05-02,Everyone's fault,1467 MCMILLAN RD,61567
247,2014-08-01,Not Customer's fault,1468 CURRY HOLLOW RD,61568
248,2016-05-27,Everyone's fault,1469 WASHINGTON PK,61569
249,2016-08-29,Customer's fault,1470 MANSFIELD BL,61570
250,2015-02-25,Not Customer's fault,1471 RAYMOND P SHAFER HW,61571
251,2015-04-26,Everyone's fault,1472 PENN LINCOLN PY,61572
252,2015-06-21,Not Customer's fault,1473 BURCHFIELD RD,61573
253,2016-11-26,Everyone's fault,1474 WILLIAM FLYNN HW,61574
254,2016-10-25,Not Customer's fault,1475 WASHINGTON RD,61575
255,2014-04-15,Customer's fault,1476 OLD FRANKSTOWN RD,61576
256,2016-05-22,Customer's fault,1477 HOMESTEAD GRAYS BR,61577
257,2016-05-30,Customer's fault,1478 BRODHEAD RD,61578
258,2016-04-17,Everyone's fault,1479 FREEPORT RD,61579
259,2016-10-08,Customer's fault,1480 FOURTH AV,61580
260,2016-10-11,Not Customer's fault,1481 HOSPITAL DR,61581
261,2016-03-01,Everyone's fault,1482 FOURTH AV,61582
262,2015-12-07,Everyone's fault,1483 SENIOR DR,61583
263,2016-08-21,Everyone's fault,1484 STROSCHEIN RD,61584
264,2014-11-03,Not Customer's fault,1485 NEW WM PENN HW,61585
265,2015-08-01,Customer's fault,1486 ROSEMONT DR,61586
266,2015-07-12,Everyone's fault,1487 PITTSBURGH ST,61587
267,2015-08-14,Customer's fault,1488 EAST WATERFRONT DR,61588
268,2016-11-06,Customer's fault,1489 CLAIRTON BL,61589
269,2014-07-13,Customer's fault,1490 CHURCH RD,61590
270,2015-11-02,Customer's fault,1491 FORT COUCH RD,61591
271,2016-05-11,Customer's fault,1492 NORTH BALPH AV,61592
272,2015-08-05,Everyone's fault,1493 SAUNDERS STATION RD,61593
273,2016-11-04,Not Customer's fault,1494 OHIO RIVER BL,61594
274,2015-09-15,Not Customer's fault,1495 HULTON RD,61595
275,2016-04-15,Not Customer's fault,1496 PERRY HW,61596
276,2016-06-12,Everyone's fault,1497 LITTLE DEER CREEK RD,61597
277,2016-09-04,Not Customer's fault,1498 MCMURRAY RD,61598
278,2016-08-04,Customer's fault,1499 WM FLYNN HW,61599
279,2015-06-26,Everyone's fault,1500 WILLIAM PENN HW,61600
280,2015-06-07,Everyone's fault,1501 EAST EIGHTH AV,61601
281,2015-10-02,Not Customer's fault,1502 BROWNSVILLE RD,61602
282,2014-10-12,Everyone's fault,1503 PERRY HW,61603
283,2014-08-22,Everyone's fault,1504 UNION AV,61604
284,2014-05-07,Not Customer's fault,1505 COMMONWEALTH DR,61605
285,2016-02-25,Customer's fault,1506 BOWER HILL RD. RD,61606
286,2014-04-24,Customer's fault,1507 CURRY HOLLOW RD,61607
287,2014-07-15,Everyone's fault,1508 GLENN AV,61608
288,2016-09-08,Customer's fault,1509 FIFTH AV,61609
289,2015-06-13,Customer's fault,1510 ALLIES BL,61610
290,2016-03-22,Everyone's fault,1511 PA TURNPIKE HW,61611
291,2015-09-28,Customer's fault,1512 PA TURNPIKE HW,61612
292,2015-01-06,Everyone's fault,1513 OHIO RIVER BL,61613
293,2014-12-13,Not Customer's fault,1514 CLAIRTON BL,61614
294,2016-08-20,Customer's fault,1515 GREENTREE RD,61615
295,2014-05-27,Not Customer's fault,1516 FREEPORT RD,61616
296,2014-08-09,Everyone's fault,1517 SCENERY DR,61617
297,2014-12-18,Customer's fault,1518 STATE ST,61618
298,2014-06-13,Customer's fault,1519 PERRY HW,61619
299,2016-05-20,Not Customer's fault,1520 CLAIRTON BL,61620
300,2015-09-15,Not Customer's fault,1521 WEST BARDONNER RD,61621
301,2015-06-08,Not Customer's fault,1522 CLOVERLEAF DR,61622
302,2016-03-06,Not Customer's fault,1523 GIBSONIA RD,61623
303,2014-09-04,Customer's fault,1524 HOMESTEAD-DUQUESNE RD,61624
304,2014-05-15,Everyone's fault,1525 WIBLE RUN RD,61625
305,2014-12-11,Everyone's fault,1526 RIDGE ROAD RD,61626
306,2015-11-22,Everyone's fault,1527 WEST LIBERTY AV,61627
307,2015-03-09,Not Customer's fault,1528 WILLIAM FLYNN HW,61628
308,2016-12-17,Customer's fault,1529 LINCOLN AV,61629
309,2015-01-03,Not Customer's fault,1530 CHURCHVIEW AV,61630
310,2016-06-19,Everyone's fault,1531 VINE STREET ST,61631
311,2016-09-08,Everyone's fault,1532 EAST 7TH AV,61632
312,2016-10-12,Not Customer's fault,1533 HOPE HOLLOW RD,61633
313,2014-10-17,Not Customer's fault,1534 FOX CHAPEL RD,61634
314,2016-02-25,Everyone's fault,1535 GIBSONIA RD,61635
315,2014-09-12,Customer's fault,1536 LIBERTY AV,61636
316,2016-06-03,Everyone's fault,1537 BAKERSTOWN/WARRENDALE RD,61637
317,2016-10-09,Not Customer's fault,1538 BROWNSVILLE RD,61638
318,2016-11-12,Customer's fault,1539 BURGETTSTOWN RD,61639
319,2016-04-01,Not Customer's fault,1540 EAST BRUCETON RD,61640
320,2014-10-03,Not Customer's fault,1541 VANADIUM RD,61641
321,2014-04-29,Not Customer's fault,1542 LINCOLN HW,61642
322,2014-05-22,Everyone's fault,1543 UNIVERSITY BL,61643
323,2015-03-27,Customer's fault,2145 HAYDEN BL,62245
324,2015-06-19,Not Customer's fault,2146 WEST ST,62246
325,2015-12-17,Customer's fault,2147 SR0910 RD,62247
326,2016-10-07,Customer's fault,2148 WASHINGTON PK,62248
327,2014-04-30,Not Customer's fault,2149 CURRY HOLLOW RD,62249
328,2014-08-08,Customer's fault,2150 SCRUBGRASS RD,62250
329,2016-01-23,Everyone's fault,2151 HAYDEN BL,62251
330,2014-09-27,Customer's fault,2152 SR 0051 SH,62252
331,2016-03-26,Everyone's fault,2153 STATE ROUTE 51 HW,62253
332,2016-04-25,Everyone's fault,2154 LYDIA ST,62254
333,2015-05-25,Everyone's fault,2155 CLAIRTON RD,62255
334,2016-11-11,Everyone's fault,2156 PAYNE HILL ROAD RD,62256
335,2016-06-28,Not Customer's fault,2157 HASSAM RD,62257
336,2016-09-16,Not Customer's fault,2158 NORTHERN PK,62258
337,2016-07-02,Not Customer's fault,2159 IGNATIUS AV,62259
338,2016-12-07,Not Customer's fault,2160 FEDERAL ST,62260
339,2016-01-08,Not Customer's fault,2161 TULIP DR,62261
340,2015-03-04,Customer's fault,2162 MT ROYAL BL,62262
341,2015-07-05,Everyone's fault,2163 LIBERTY AV,62263
342,2015-12-25,Customer's fault,2164 PITTSBURGH ST,62264
343,2015-02-25,Everyone's fault,2165 HUNT RD,62265
344,2014-10-15,Not Customer's fault,2166 NORTHERN PK,62266
345,2015-09-01,Everyone's fault,2167 FORT COUCH RD,62267
346,2014-09-03,Everyone's fault,2168 MIDDLE RD,62268
347,2016-11-19,Everyone's fault,2169 BROWNSVILLE RD,62269
348,2015-02-13,Not Customer's fault,2170 CURRY HOLLOW RD,62270
349,2016-01-16,Everyone's fault,2171 WILLIAM FLYNN HW,62271
350,2014-06-04,Not Customer's fault,2172 PENN AV,62272
351,2016-02-07,Everyone's fault,2173 BAYTREE ST,62273
352,2015-02-24,Everyone's fault,2174 WHITED . ST,62274
353,2016-03-18,Everyone's fault,2175 STEWART AV,62275
354,2016-11-08,Customer's fault,2176 SR 0910 SH,62276
355,2016-08-25,Not Customer's fault,2177 RODI RD,62277
356,2015-02-16,Customer's fault,2178 FRANKSTOWN RD,62278
357,2016-10-13,Not Customer's fault,2179 FIFTH AL,62279
358,2015-02-17,Customer's fault,2180 DAVIDSON RD,62280
359,2015-05-09,Everyone's fault,2181 WOODHAVEN DR,62281
360,2015-06-19,Everyone's fault,2182 WILDWOOD RD,62282
361,2015-04-17,Customer's fault,2183 GREENSBURG RD,62283
362,2015-12-17,Everyone's fault,2184 SAMPLE RD,62284
363,2016-03-08,Everyone's fault,2185 NORTH NEGLEY AV,62285
364,2015-12-22,Everyone's fault,2186 8TH AV,62286
365,2016-09-05,Not Customer's fault,2187 WASHINGTON RD,62287
366,2015-04-14,Customer's fault,2188 MONROEVILLE RD,62288
367,2015-10-28,Customer's fault,2189 WEXFORD BAYNE RD,62289
368,2015-01-13,Everyone's fault,2190 CLAIRTON BL,62290
369,2014-07-10,Everyone's fault,2191 CENTER RD,62291
370,2014-08-01,Everyone's fault,2192 PROVOST DR,62292
371,2014-11-21,Not Customer's fault,2193 SCAIFE RD,62293
372,2015-01-16,Not Customer's fault,2194 OHIO RIVER BL,62294
373,2015-08-05,Not Customer's fault,2195 HAYDEN BL,62295
374,2016-03-12,Everyone's fault,2196 MANSFIELD BL,62296
375,2014-11-16,Everyone's fault,2197 HIGHLAND DR,62297
376,2015-06-02,Everyone's fault,2198 WILLIAM FLYNN HW,62298
377,2014-07-08,Customer's fault,2199 WEST ALLEGHENY RD,62299
378,2015-03-28,Customer's fault,2200 MCGULLY RD,62300
379,2016-10-07,Customer's fault,2201 THORN RUN RD,62301
380,2016-09-26,Customer's fault,2202 PENN AV,62302
381,2015-08-05,Customer's fault,2203 PERRY HW,62303
382,2015-03-04,Not Customer's fault,2204 MAIN ST,62304
383,2016-07-14,Not Customer's fault,2205 SMITHFIELD BR,62305
384,2016-06-13,Not Customer's fault,2206 MORRELLE AV,62306
385,2016-07-10,Customer's fault,2207 EAST MAIN STREET ST,62307
386,2015-03-23,Everyone's fault,2208 WARRENDALE-BAYNE RD,62308
387,2015-09-10,Everyone's fault,2209 UNIVERSITY BL,62309
388,2014-07-05,Customer's fault,2210 BUTLER STREET ST,62310
389,2016-03-11,Customer's fault,2211 WATERFRONT DR,62311
390,2014-10-31,Not Customer's fault,2212 SHOPPES AT BOWER HILL LT,62312
391,2016-02-26,Customer's fault,2213 MIDDLE RD,62313
392,2016-07-03,Not Customer's fault,2214 BOGGS SCHOOL RD,62314
393,2016-11-27,Customer's fault,2215 CARGO RD,62315
394,2016-03-19,Not Customer's fault,2216 RIDGE ROAD RD,62316
395,2014-12-21,Customer's fault,2217 WILLIAM FLYNN HW,62317
396,2016-12-24,Everyone's fault,2218 HAYDEN BL,62318
397,2016-09-07,Customer's fault,2219 UNIVERSITY BL,62319
398,2015-04-10,Customer's fault,2220 HUNT RD,62320
399,2016-06-25,Everyone's fault,2221 ISLAND AV,62321
400,2016-07-06,Not Customer's fault,2222 LINWOOD DR,62322
401,2016-02-10,Not Customer's fault,2223 WILLIAM FLYNN HW,62323
402,2015-02-28,Customer's fault,2224 CLAIRTON BL,62324
403,2016-05-30,Everyone's fault,2225 CHARLTON HEIGHTS RD,62325
404,2014-11-21,Everyone's fault,2226 MAIN ST,62326
405,2015-03-19,Customer's fault,2227 WOODLAWN AV,62327
406,2014-07-05,Everyone's fault,2228 WASHINGTON PK,62328
407,2016-01-05,Not Customer's fault,2229 CORAOPOLIS HEIGHTS RD,62329
408,2015-04-19,Not Customer's fault,2230 5TH AV,62330
409,2016-06-11,Everyone's fault,2231 GROVE RD,62331
410,2015-04-25,Not Customer's fault,2232 EWING MILL RD,62332
411,2014-07-28,Not Customer's fault,2233 UNIVERSITY BL,62333
412,2016-07-10,Not Customer's fault,2234 HOLLOWHAVEN DR DR,62334
413,2016-01-16,Not Customer's fault,2235 FIFTH AV,62335
414,2016-03-28,Customer's fault,2236 W EIGHTH AV,62336
415,2015-01-18,Customer's fault,2237 TREESDALE DR,62337
416,2014-06-11,Not Customer's fault,2238 LOGANS FERRY RD,62338
417,2015-09-28,Everyone's fault,2239 CORRIGAN DR,62339
418,2014-09-20,Not Customer's fault,2240 BRODHEAD RD,62340
