cid,reportno,isguilty
18703,936,1
3235,937,1
68479,938,0
47550,939,0
50892,940,1
66612,941,1
81869,942,0
10468,943,1
1704,944,1
66767,945,1
1390,946,1
16071,947,0
70319,948,1
78992,949,1
52361,950,1
53479,951,1
7222,952,1
63932,953,1
1497,954,0
24092,955,0
77546,956,1
94502,957,0
69475,958,1
15206,959,1
59720,960,1
63502,961,0
20153,962,1
87790,963,0
53679,964,0
60585,965,1
58334,966,1
42577,967,1
68910,968,0
72560,969,1
69692,970,1
2523,971,1
20204,972,0
100410,973,1
73354,974,1
87006,975,1
36840,976,1
96427,977,0
85997,978,1
96497,979,1
39694,980,1
29355,981,0
82882,982,0
67130,983,1
48060,984,0
76217,985,1
69851,986,1
78466,987,0
23666,988,1
26580,989,1
932,990,0
18623,991,1
59546,992,1
56149,993,0
100199,994,1
96893,995,1
74775,996,1
18168,997,0
14770,998,0
42847,999,0
38145,1000,0
31410,1001,1
30117,1002,0
4394,1003,0
3506,1004,0
10565,1005,0
91322,1006,1
7807,1007,0
34738,1008,0
23245,1009,0
48081,1010,0
2834,1011,0
72709,1012,1
8178,1013,0
89585,1014,1
48811,1015,0
35659,1016,0
72343,1017,0
10079,1018,0
3082,1019,1
53263,1020,0
9120,1021,1
88996,1022,1
81410,1023,1
74541,1024,1
65783,1025,1
72108,1026,1
76089,1027,0
29686,1028,0
32982,1029,0
15736,1030,1
235,1031,1
95229,1032,0
95500,1033,1
93187,1034,0
53322,1035,1
36282,1036,0
16041,1037,0
19830,1038,0
14933,1039,0
40133,1040,1
55224,1041,1
91955,1042,1
98666,1043,0
8788,1044,1
40833,1045,1
24741,1046,1
35955,1047,0
83870,1048,1
100085,1049,0
41099,1050,0
38566,1051,0
42807,1052,0
60136,1053,1
98112,1054,0
70352,1055,0
82709,1056,1
46616,1057,0
53501,1058,0
73429,1059,0
49053,1060,1
15933,1061,1
55340,1062,0
51534,1063,0
62638,1064,0
13175,1065,0
52400,1066,1
37675,1067,1
93640,1068,1
24562,1069,1
73206,1070,1
26616,1071,0
12634,1072,1
88909,1073,0
73039,1074,0
95148,1075,1
32288,1076,0
13130,1077,1
80210,1078,0
55680,1079,1
1556,1080,0
39194,1081,0
33641,1082,1
19659,1083,0
20918,1084,0
38366,1085,1
40508,1086,0
19426,1087,1
83037,1088,1
72977,1089,0
83365,1090,0
31565,1091,1
85677,1092,1
89106,1093,1
32652,1094,0
90478,1095,1
83184,1096,1
26353,1097,0
9190,1098,1
70806,1099,0
39973,1100,0
72750,1101,0
36785,1102,1
57876,1103,1
71111,1104,1
65168,1105,1
20329,1106,1
27468,1107,0
7928,1108,1
59922,1109,1
13670,1110,0
78814,1111,0
5397,1112,1
31627,1113,0
10565,1114,0
93690,1115,0
2800,1116,1
50489,1117,0
40872,1118,1
6732,1119,0
4809,1120,1
71903,1121,0
96249,1122,0
66542,1123,1
7227,1124,1
2738,1125,1
28791,1126,1
100335,1127,0
90351,1128,0
26026,1129,1
1183,1130,0
64816,1131,1
70160,1132,0
35396,1133,0
33201,1134,1
10725,1135,1
27090,1136,0
60692,1137,1
29556,1138,1
54011,1139,0
64831,1140,0
58444,1141,0
79060,1142,1
75720,1143,1
80549,1144,1
37292,1145,0
23570,1146,0
82330,1147,0
67160,1148,0
30559,1149,1
98822,1150,1
83086,1151,0
85398,1152,1
41961,1153,1
55979,1154,1
14747,1155,1
88047,1156,1
90432,1157,0
30562,1158,1
31264,1159,0
11670,1160,1
22626,1161,1
6483,1162,0
21194,1163,1
51275,1164,1
94868,1165,0
72163,1166,0
20169,1167,0
93996,1168,1
66549,1169,0
79332,1170,1
8846,1171,1
48705,1172,0
73434,1173,1
65252,1174,0
77126,1175,0
15446,1176,0
39663,1177,0
27704,1178,1
71371,1179,1
57590,1180,1
23202,1181,0
78885,1182,0
29186,1183,0
2894,1184,1
50811,1185,1
5626,1186,1
51377,1187,0
83765,1188,1
35910,1189,1
86999,1190,0
1061,1191,0
68459,1192,1
41853,1193,1
61172,1194,1
60549,1195,0
88517,1196,1
6258,1197,0
15933,1198,0
83551,1199,0
94490,1200,0
100323,1201,0
32788,1202,1
89091,1203,1
71574,1204,1
4104,1205,0
38042,1206,0
53197,1207,0
74600,1208,1
62596,1209,0
38844,1210,1
17076,1211,1
33351,1212,1
99894,1213,0
25855,1214,1
51580,1215,0
58442,1216,0
39975,1217,0
56350,1218,1
34406,1219,1
49890,1220,1
59105,1221,1
4278,1222,0
70584,1223,1
10483,1224,1
81114,1225,0
83748,1226,1
61294,1227,1
39122,1228,1
81081,1229,1
86840,1230,0
67015,1231,0
97863,1232,1
11063,1233,0
11682,1234,1
59341,1235,1
35705,1236,0
66800,1237,1
28240,1238,1
40266,1239,0
30316,1240,1
45207,1241,1
66823,1242,1
11828,1243,1
80353,1244,0
18969,1245,0
71321,1246,0
8897,1247,1
53871,1248,1
81628,1249,0
44638,1250,1
65800,1251,0
83811,1252,0
7031,1253,0
19585,1254,0
28720,1255,1
20916,1256,1
37301,1257,0
17758,1258,1
30364,1259,0
35489,1260,0
93904,1261,0
67266,1262,1
85356,1263,0
77486,1264,0
34752,1265,1
53165,1266,0
40719,1267,1
25236,1268,1
74402,1269,0
81212,1270,0
67709,1271,0
31937,1272,0
94620,1273,0
20694,1274,1
47748,1275,1
24022,1276,1
55077,1277,1
14567,1278,1
51417,1279,1
55578,1280,0
84360,1281,1
72697,1282,0
15912,1283,0
83472,1284,0
30541,1285,0
14472,1286,0
86534,1287,1
22934,1288,0
51784,1289,1
85916,1290,0
80774,1291,1
15473,1292,1
19507,1293,1
88631,1294,1
99543,1295,1
96254,1296,0
63922,1297,1
74580,1298,0
187,1299,1
31250,1300,0
19163,1301,0
10336,1302,1
29907,1303,0
67744,1304,1
61532,1305,0
46362,1306,1
11963,1307,1
6008,1308,0
23719,1309,1
80930,1310,0
73312,1311,1
53005,1312,0
6389,1313,0
60979,1314,0
57033,1315,0
34569,1316,0
51858,1317,0
88259,1318,0
27765,1319,0
69328,1320,0
1833,1321,1
837,1322,0
95210,1323,0
2860,1324,0
87057,1325,1
15801,1326,0
86761,1327,0
27889,1328,1
88560,1329,1
1166,1330,0
22337,1331,1
1622,1332,0
82283,1333,1
65761,1334,0
24757,1335,0
3536,1336,0
72610,1337,1
14457,1338,0
45316,1339,1
6256,1340,0
86242,1341,0
40610,1342,0
25409,1343,1
71415,1344,1
22786,1345,0
43302,1346,0
72326,1347,1
18896,1348,1
13306,1349,0
44994,1350,0
9963,1351,1
17223,1352,0
36598,1353,1
98295,1354,0
90613,1355,0
2980,1356,1
93558,1357,0
9932,1358,0
78708,1359,1
24567,1360,0
30618,1361,0
36271,1362,1
42060,1363,1
84395,1364,0
64825,1365,1
44488,1366,1
93284,1367,1
81160,1368,1
13092,1369,0
94850,1370,1
79568,1371,0
68279,1372,0
92683,1373,1
30130,1374,1
33836,1375,1
12810,1376,0
17007,1377,1
72303,1378,0
78884,1379,0
85561,1380,1
65406,1381,1
6037,1382,0
6615,1383,0
41020,1384,1
33473,1385,0
46880,1386,1
65656,1387,0
39614,1388,0
95819,1389,0
41929,1390,0
71029,1391,1
95549,1392,0
58525,1393,1
22834,1394,0
39642,1395,0
88363,1396,1
3620,1397,0
4618,1398,1
64556,1399,1
99612,1400,0
12800,1401,0
11837,1402,1
77291,1403,1
72675,1404,0
16989,1405,1
17652,1406,1
61355,1407,0
65609,1408,0
39506,1409,0
83695,1410,1
96976,1411,0
25177,1412,0
21357,1413,0
34242,1414,1
30990,1415,0
80337,1416,0
36152,1417,1
97126,1418,0
66558,1419,1
3900,1420,0
39455,1421,0
26238,1422,1
37687,1423,1
20366,1424,1
83746,1425,0
71796,1426,1
43734,1427,1
47200,1428,1
7971,1429,0
14442,1430,0
44210,1431,1
86524,1432,1
62815,1433,1
29555,1434,1
88910,1435,1
41763,1436,1
18738,1437,0
65978,1438,1
8352,1439,1
5149,1440,0
86999,1441,0
44067,1442,0
39146,1443,1
100210,1444,1
25360,1445,1
77465,1446,1
71388,1447,0
20412,1448,0
11881,1449,0
34097,1450,0
7994,1451,0
65391,1452,0
5283,1453,1
91694,1454,1
5326,1455,1
53938,1456,0
41950,1457,1
99815,1458,0
32130,1459,1
64309,1460,1
53268,1461,0
94226,1462,0
33652,1463,1
70362,1464,1
58948,1465,1
28896,1466,0
99288,1467,0
92744,1468,1
17417,1469,0
65136,1470,0
78104,1471,0
52287,1472,0
24675,1473,1
30373,1474,0
49633,1475,0
40560,1476,1
49836,1477,0
56571,1478,1
99900,1479,1
45314,1480,0
44597,1481,0
67352,1482,0
100404,1483,1
90251,1484,0
50168,1485,1
40470,1486,1
96102,1487,1
40688,1488,0
54457,1489,0
68303,1490,0
96744,1491,1
91340,1492,1
47208,1493,0
61126,1494,0
72499,1495,0
26305,1496,0
51440,1497,1
18472,1498,0
30620,1499,1
39038,1500,1
28224,1501,1
23803,1502,0
68744,1503,0
4006,1504,1
55042,1505,0
40380,1506,0
78758,1507,1
31988,1508,0
71825,1509,0
13677,1510,1
44538,1511,1
67768,1512,1
86800,1513,1
79270,1514,0
81096,1515,0
88988,1516,0
38227,1517,1
73024,1518,0
93642,1519,1
20798,1520,0
68914,1521,0
49416,1522,1
62784,1523,0
76101,1524,0
99475,1525,0
3961,1526,0
97364,1527,0
55961,1528,0
92662,1529,0
17493,1530,1
50038,1531,0
63431,1532,1
4338,1533,1
87699,1534,0
72395,1535,1
63330,1536,1
94634,1537,0
93785,1538,1
68956,1539,0
85201,1540,0
24454,1541,0
78006,1542,0
25653,1543,1
78963,1544,0
16754,1545,0
27472,1546,0
32200,1547,1
19815,1548,0
64246,1549,0
77137,1550,1
96032,1551,1
52199,1552,1
98558,1553,1
3692,1554,1
96265,1555,0
37173,1556,1
78884,1557,0
48277,1558,1
67840,1559,1
24941,1560,0
1555,1561,0
77128,1562,1
85953,1563,0
38349,1564,1
86871,1565,1
60677,1566,0
20500,1567,0
98918,1568,0
12451,1569,1
70931,1570,0
51972,1571,0
21483,1572,1
2071,1573,0
89424,1574,0
97245,1575,1
5051,1576,1
30049,1577,0
29644,1578,1
96020,1579,1
86966,1580,1
27929,1581,0
25504,1582,1
22142,1583,1
21192,1584,0
13464,1585,1
41665,1586,0
82039,1587,1
7948,1588,0
56663,1589,0
24711,1590,1
63463,1591,1
13340,1592,0
36224,1593,0
85499,1594,0
64216,1595,0
1446,1596,1
13588,1597,0
25093,1598,1
44163,1599,1
91496,1600,1
20786,1601,0
77899,1602,1
10958,1603,0
85273,1604,0
58786,1605,0
96708,1606,0
79247,1607,1
98919,1608,1
36734,1609,0
4686,1610,1
24773,1611,1
94768,1612,1
48748,1613,1
87942,1614,0
65751,1615,1
23010,1616,0
81756,1617,1
27688,1618,0
45233,1619,1
28110,1620,1
48951,1621,0
50395,1622,0
20161,1623,1
88247,1624,0
32494,1625,0
84400,1626,1
21438,1627,1
14824,1628,1
92618,1629,1
71439,1630,0
98473,1631,1
81591,1632,0
95036,1633,1
47498,1634,0
7720,1635,0
62441,1636,0
18818,1637,1
43370,1638,0
11713,1639,0
53579,1640,0
65133,1641,1
21337,1642,1
22211,1643,1
4027,1644,0
55971,1645,1
9880,1646,1
91950,1647,0
80605,1648,0
46826,1649,1
32947,1650,1
25989,1651,1
72732,1652,1
44517,1653,0
66977,1654,0
59640,1655,0
253,1656,0
34854,1657,0
55630,1658,0
12209,1659,0
49700,1660,0
55988,1661,0
36388,1662,1
50474,1663,0
81773,1664,0
485,1665,1
80256,1666,0
91213,1667,0
24383,1668,1
99858,1669,0
100302,1670,1
33462,1671,0
44145,1672,0
17100,1673,1
28220,1674,1
84141,1675,0
29197,1676,0
32025,1677,1
98741,1678,0
60788,1679,1
53330,1680,1
29904,1681,0
44665,1682,1
52457,1683,1
32785,1684,1
14868,1685,0
63763,1686,0
95818,1687,1
89054,1688,1
47304,1689,0
40859,1690,1
92564,1691,1
43535,1692,0
88374,1693,0
70874,1694,0
19921,1695,0
82779,1696,1
29392,1697,0
42953,1698,1
88851,1699,1
8493,1700,0
69353,1701,0
1032,1702,0
17922,1703,1
88670,1704,0
30096,1705,0
73306,1706,1
96012,1707,1
62125,1708,1
51454,1709,0
81396,1710,0
86930,1711,0
70930,1712,0
99026,1713,0
2796,1714,0
72277,1715,1
48370,1716,1
47089,1717,1
29876,1718,0
48544,1719,0
56792,1720,1
17859,1721,0
71547,1722,0
85411,1723,1
55009,1724,0
69338,1725,0
74917,1726,1
58262,1727,0
83928,1728,1
80154,1729,1
33433,1730,0
26372,1731,0
52489,1732,0
2798,1733,0
52130,1734,0
10699,1735,0
44167,1736,0
74236,1737,0
43254,1738,1
2202,1739,1
9479,1740,1
58050,1741,0
72705,1742,0
84814,1743,1
31504,1744,0
27113,1745,0
74246,1746,0
47953,1747,1
6656,1748,0
27056,1749,1
51509,1750,0
7815,1751,1
73201,1752,0
49533,1753,0
89075,1754,0
97134,1755,1
8933,1756,1
80527,1757,0
83878,1758,0
60410,1759,0
47257,1760,1
20692,1761,0
76760,1762,0
31992,1763,0
2659,1764,0
75343,1765,0
19974,1766,0
40492,1767,1
48083,1768,0
92363,1769,0
25245,1770,1
1093,1771,0
33834,1772,0
17035,1773,0
225,1774,1
44626,1775,1
36124,1776,1
90343,1777,1
97222,1778,1
90489,1779,1
2186,1780,1
85995,1781,0
95313,1782,0
3947,1783,1
30964,1784,1
76012,1785,1
85944,1786,0
86163,1787,0
53373,1788,0
67249,1789,0
85812,1790,1
33577,1791,1
43668,1792,0
23459,1793,0
37915,1794,1
85184,1795,1
92977,1796,1
38099,1797,1
78293,1798,1
98707,1799,0
74239,1800,0
44747,1801,1
99967,1802,0
5334,1803,0
54427,1804,0
37030,1805,0
66856,1806,1
88429,1807,1
65041,1808,0
94833,1809,1
81896,1810,1
32534,1811,1
7264,1812,1
57494,1813,0
73426,1814,0
45642,1815,1
77299,1816,1
31001,1817,0
99336,1818,0
60150,1819,0
35868,1820,0
70090,1821,0
82680,1822,0
27908,1823,1
90314,1824,1
64231,1825,0
95274,1826,1
76271,1827,0
24448,1828,1
56990,1829,0
38130,1830,0
96425,1831,0
39322,1832,1
39688,1833,0
34368,1834,1
18775,1835,1
94262,1836,0
26978,1837,1
2111,1838,0
32188,1839,0
15522,1840,1
62865,1841,1
30857,1842,1
52618,1843,1
21218,1844,0
31790,1845,0
51696,1846,1
19411,1847,0
45437,1848,0
43730,1849,1
74950,1850,0
51748,1851,1
83771,1852,1
15758,1853,1
73600,1854,0
95281,1855,0
78395,1856,1
18052,1857,1
36115,1858,0
16529,1859,1
90701,1860,1
38182,1861,1
11352,1862,0
86905,1863,1
51620,1864,1
17469,1865,0
99340,1866,0
10569,1867,1
76418,1868,0
6465,1869,0
2044,1870,0
32725,1871,1
5157,1872,0
78434,1873,1
