planno,cid,aid
1,213,3192
4,214,1485
2,215,1722
4,216,524
2,217,2721
1,218,2792
2,219,595
1,220,608
4,221,2783
1,222,364
2,223,2150
1,224,1154
1,225,2128
4,226,2592
1,227,3174
2,228,2266
1,229,3235
3,230,3466
3,231,3589
1,232,499
2,233,1848
1,234,2779
2,235,3269
2,236,1151
1,237,3591
2,238,1138
1,239,624
1,240,3537
4,241,2329
4,242,1386
4,243,177
2,244,531
3,245,1284
4,246,1295
3,247,774
2,248,2995
2,249,52
3,250,2557
3,251,1616
1,252,2405
3,253,2312
1,254,2171
1,255,936
1,256,3014
2,257,3065
1,258,3278
1,259,872
2,260,339
3,261,580
4,262,2095
4,263,655
4,264,2139
3,265,414
3,266,3162
3,267,3013
3,268,2193
1,269,2222
2,270,867
3,271,3279
1,272,2286
4,273,1213
1,274,1932
2,275,1342
1,276,3060
3,277,1741
3,278,109
3,279,3355
4,280,103
2,281,846
4,282,1047
4,283,2334
3,284,771
3,285,2618
1,286,3438
1,287,1232
1,288,2994
1,289,3034
2,290,2773
3,291,3495
3,292,2098
3,293,3037
2,294,1982
2,295,3399
4,296,947
3,297,781
2,298,2394
3,299,834
1,300,709
4,301,1571
1,302,1077
2,303,2271
2,304,713
2,305,2667
1,306,3259
2,307,2051
3,308,1378
2,309,1881
3,310,1064
4,311,2580
3,312,959
4,313,200
1,314,351
2,315,2586
1,316,956
2,317,439
1,318,724
1,319,197
4,320,1339
1,321,1221
2,322,2766
4,323,1519
3,324,2921
4,325,3358
2,326,3
3,327,2721
4,328,741
4,329,3459
4,330,402
1,331,2714
2,332,1144
4,333,2652
1,334,507
3,335,559
3,336,2651
2,337,1276
3,338,2639
1,339,2877
1,340,1965
4,341,115
1,342,345
4,343,2596
1,344,2150
3,345,607
2,346,3641
2,347,480
1,348,1467
3,349,3592
4,350,1972
2,351,69
1,352,734
3,353,2898
4,354,2035
4,355,2245
4,356,2665
1,357,27
2,358,2685
3,359,472
3,360,2959
1,361,478
3,362,2510
1,363,2388
3,364,348
1,365,3328
3,366,2624
3,367,327
3,368,3254
2,369,1126
1,370,649
2,371,604
2,372,1203
1,373,809
1,374,2704
2,375,1307
1,376,364
3,377,52
1,378,1727
4,379,1034
1,380,3184
1,381,3246
1,382,1264
4,383,2219
1,384,3383
4,385,1433
4,386,1680
1,387,1894
4,388,149
4,389,1772
2,390,3627
3,391,2155
1,392,1174
2,393,2114
4,394,3341
1,395,2730
4,396,2928
2,397,502
2,398,3299
2,399,3089
3,400,767
2,401,1974
2,402,1276
3,403,1932
3,404,1612
4,405,3561
4,406,44
2,407,3498
3,408,1399
1,409,435
4,410,2182
3,411,578
3,412,1686
2,413,2386
2,414,252
2,415,1012
1,416,2737
2,417,923
1,418,1064
4,419,2451
1,420,3546
4,421,2982
2,422,538
3,423,1706
2,424,1314
3,425,2473
4,426,3440
3,427,135
3,428,688
4,429,1290
2,430,2134
4,431,1287
1,432,2390
2,433,1330
2,434,844
1,435,417
3,436,798
1,437,742
2,438,3584
2,439,2466
2,440,1534
4,441,3491
2,442,1701
3,443,3264
4,444,1104
3,445,1595
3,446,1079
1,447,181
1,448,193
4,449,419
4,450,1102
1,451,183
4,452,1269
4,453,3375
1,454,655
4,455,1266
4,456,3421
2,457,221
2,458,894
2,459,2127
2,460,2506
3,461,2875
4,462,3366
1,463,2268
4,464,116
3,465,2443
1,466,3557
1,467,1710
1,468,1037
1,469,1364
3,470,1533
3,471,1558
1,472,3068
2,473,2094
3,474,1504
2,475,1681
1,476,3398
1,477,620
1,478,219
4,479,1129
3,480,3320
2,481,358
4,482,2660
2,483,202
3,484,1054
1,485,2044
1,486,3287
1,487,2186
1,488,2457
4,489,2515
3,490,973
2,491,3482
4,492,2235
4,493,895
4,494,3177
3,495,2960
1,496,2745
1,497,3084
4,498,3403
3,499,3056
1,500,3115
4,501,2566
4,502,3146
4,503,2511
3,504,129
1,505,2059
4,506,2611
3,507,834
1,508,2221
2,509,1530
1,510,3122
4,511,2579
3,512,3265
2,513,3556
3,514,1406
4,515,3493
2,516,3569
2,517,2755
1,518,1483
2,519,2515
1,520,2335
3,521,87
3,522,2602
3,523,3119
4,524,3618
2,525,3529
1,526,518
2,527,2754
2,528,2243
3,529,1519
3,530,2164
4,531,2668
3,532,2518
2,533,2806
4,534,1330
4,535,2092
4,536,3222
4,537,2534
2,538,3644
4,539,2711
2,540,569
3,541,1680
3,542,293
3,543,880
3,544,1074
1,545,2844
3,546,425
2,547,652
3,548,3330
1,549,3564
3,550,2696
1,551,3397
1,552,1462
3,553,1040
1,554,371
4,555,2228
4,556,623
2,557,1976
1,558,2799
4,559,3555
1,560,1369
1,561,94
1,562,745
1,563,1356
1,564,2489
2,565,369
2,566,2245
3,567,630
1,568,3643
2,569,258
3,570,1837
1,571,1952
1,572,3446
2,573,2847
3,574,1690
1,575,2822
2,576,3049
1,577,3227
1,578,3265
3,579,2968
3,580,1899
4,581,2983
3,582,2675
2,583,2311
3,584,3552
2,585,2540
3,586,2837
1,587,1598
3,588,498
1,589,2338
3,590,488
2,591,196
1,592,155
1,593,3097
3,594,1715
1,595,1288
1,596,849
2,597,3639
4,598,2377
3,599,2643
2,600,3411
3,601,1583
1,602,3502
4,603,2983
2,604,2043
4,605,2196
1,606,1520
1,607,667
4,608,987
2,609,3589
3,610,2663
4,611,3540
1,612,3336
4,613,16
3,614,1512
3,615,1334
2,616,3323
3,617,469
3,618,936
2,619,3393
3,620,67
1,621,2307
1,622,2502
4,623,921
1,624,2601
4,625,1677
4,626,84
2,627,1668
3,628,2016
3,629,1074
3,630,461
4,631,1832
3,632,3142
3,633,1657
2,634,2363
2,635,1314
3,636,3582
4,637,1230
1,638,2296
4,639,1348
2,640,656
1,641,661
1,642,303
4,643,3608
4,644,557
1,645,3452
3,646,39
3,647,2411
3,648,179
2,649,1908
3,650,989
3,651,1637
4,652,1663
2,653,681
2,654,1786
3,655,1959
1,656,3
1,657,2718
2,658,1962
3,659,1828
1,660,2161
4,661,484
3,662,943
3,663,3617
4,664,829
4,665,1735
2,666,1972
3,667,1358
2,668,1999
2,669,418
3,670,142
3,671,408
3,672,1004
3,673,912
4,674,2552
1,675,1475
2,676,1874
1,677,1244
2,678,1066
1,679,2862
3,680,2996
3,681,2261
2,682,683
3,683,430
2,684,2205
4,685,471
2,686,1649
1,687,3429
2,688,1083
3,689,1735
2,690,100
1,691,3572
2,692,2623
1,693,1340
1,694,974
4,695,3426
1,696,1119
4,697,2825
4,698,1704
3,699,1373
2,700,1366
1,701,586
1,702,985
1,703,3343
3,704,3420
1,705,1970
2,706,1910
3,707,3017
1,708,1176
1,709,2703
1,710,3489
4,711,1521
2,712,699
2,713,2299
2,714,1002
2,715,162
3,716,883
2,717,2300
3,718,1466
2,719,242
4,720,1366
4,721,717
4,722,769
1,723,2349
2,724,3115
1,725,2322
2,726,468
4,727,2781
1,728,3029
1,729,1245
3,730,2843
3,731,2210
4,732,2361
2,733,233
2,734,1758
1,735,3136
3,736,1697
1,737,2975
2,738,2766
1,739,1206
2,740,836
1,741,1116
4,742,430
3,743,24
3,744,1942
3,745,1903
1,746,3534
2,747,2303
3,748,1512
1,749,3117
2,750,10
4,751,1507
2,752,1521
1,753,3420
4,754,2443
1,755,2049
4,756,1609
2,757,752
1,758,2789
2,759,1749
4,760,2622
1,761,2570
3,762,206
1,763,631
1,764,1290
1,765,2676
2,766,3628
2,767,1326
4,768,2034
4,769,2587
1,770,2955
1,771,3041
3,772,602
2,773,308
3,774,3088
3,775,2318
2,776,1517
4,777,2656
3,778,871
1,779,42
2,780,1080
1,781,205
1,782,2811
1,783,2581
1,784,2283
2,785,2119
2,786,3477
4,787,3375
3,788,241
4,789,3500
2,790,2219
3,791,1805
2,792,1916
1,793,1720
4,794,1893
4,795,2451
2,796,207
4,797,885
4,798,1085
1,799,3406
1,800,2469
4,801,115
4,802,3277
3,803,3344
3,804,712
1,805,208
2,806,96
4,807,3122
2,808,2770
1,809,2151
2,810,2360
2,811,3039
2,812,904
3,813,468
4,814,1680
1,815,144
4,816,2641
4,817,1005
3,818,3576
3,819,980
3,820,910
3,821,325
4,822,1335
3,823,53
1,824,1029
1,825,2301
2,826,3247
3,827,3423
2,828,3504
2,829,109
2,830,302
4,831,1303
4,832,2181
4,833,277
4,834,253
4,835,2788
1,836,139
1,837,3149
3,838,2746
1,839,946
3,840,3498
1,841,3275
2,842,305
2,843,2186
4,844,1395
1,845,3284
1,846,2588
3,847,26
4,848,2353
2,849,2011
1,850,3322
4,851,1974
3,852,2337
1,853,2711
4,854,827
1,855,1174
1,856,2208
3,857,2662
3,858,2831
2,859,2794
3,860,3056
2,861,1309
1,862,1603
4,863,129
1,864,2995
3,865,3209
1,866,1724
4,867,3113
1,868,39
3,869,3610
2,870,2850
1,871,952
4,872,309
4,873,1159
4,874,1599
4,875,1719
2,876,3419
2,877,1701
2,878,2283
4,879,132
2,880,2491
3,881,374
2,882,2660
1,883,1592
2,884,3350
4,885,3378
1,886,806
1,887,2553
4,888,365
4,889,268
2,890,25
2,891,3367
1,892,2097
3,893,2838
1,894,1065
1,895,2062
1,896,2186
3,897,2850
4,898,3476
1,899,2678
2,900,2853
1,901,3188
1,902,2017
3,903,2018
2,904,1772
4,905,960
4,906,1527
2,907,1994
3,908,1377
3,909,1158
4,910,911
4,911,3475
3,912,2359
3,913,2930
2,914,2355
2,915,308
3,916,3064
3,917,3199
4,918,3475
3,919,1776
4,920,1731
4,921,2318
2,922,2126
1,923,865
4,924,1941
3,925,3150
4,926,3472
4,927,1780
4,928,413
3,929,28
1,930,1531
4,931,2996
3,932,2202
1,933,3066
4,934,13
2,935,559
1,936,3172
2,937,3248
4,938,3580
1,939,1264
4,940,911
4,941,2768
4,942,3369
1,943,3563
2,944,530
1,945,3536
1,946,1291
4,947,2049
1,948,2048
4,949,1754
1,950,3078
4,951,1468
1,952,2692
1,953,1672
1,954,3544
3,955,555
4,956,483
1,957,3315
3,958,1818
4,959,1558
2,960,3182
1,961,1480
4,962,825
3,963,681
1,964,3543
4,965,719
3,966,1181
4,967,156
4,968,1064
4,969,1845
3,970,3075
2,971,2862
2,972,1507
4,973,514
2,974,1180
1,975,251
4,976,3404
1,977,1826
1,978,31
3,979,2069
3,980,3201
3,981,2251
4,982,316
2,983,165
1,984,2026
1,985,2457
3,986,454
2,987,875
2,988,958
4,989,2309
4,990,906
4,991,3110
1,992,2167
4,993,753
1,994,3497
3,995,1960
3,996,1281
4,997,941
4,998,1396
2,999,2459
2,1000,141
2,1001,596
1,1002,1217
2,1003,3035
1,1004,1190
4,1005,2626
1,1006,1335
1,1007,3221
2,1008,918
1,1009,1783
2,1010,46
3,1011,1208
1,1012,1390
3,1013,1515
3,1014,151
4,1015,2781
3,1016,2618
1,1017,564
2,1018,348
3,1019,1450
3,1020,2264
2,1021,2357
4,1022,1902
3,1023,2207
1,1024,3009
1,1025,1242
1,1026,3304
2,1027,3372
3,1028,1028
4,1029,406
1,1030,3086
1,1031,2882
4,1032,874
1,1033,2251
4,1034,2446
3,1035,3257
1,1036,2922
4,1037,3250
1,1038,2002
4,1039,2099
4,1040,21
4,1041,564
4,1042,2096
3,1043,877
2,1044,1760
3,1045,2472
1,1046,1735
1,1047,971
1,1048,3454
1,1049,3114
2,1050,2302
4,1051,910
3,1052,2288
1,1053,829
2,1054,2721
1,1055,2761
2,1056,3143
4,1057,728
2,1058,2160
1,1059,756
3,1060,2449
3,1061,1434
1,1062,1550
2,1063,2646
4,1064,71
3,1065,3100
2,1066,2108
2,1067,1911
1,1068,3643
1,1069,265
4,1070,1411
1,1071,2817
2,1072,2841
2,1073,2795
4,1074,1596
4,1075,3184
4,1076,1310
4,1077,3159
4,1078,627
4,1079,1044
4,1080,2386
1,1081,1126
1,1082,1592
1,1083,1512
4,1084,1134
4,1085,1015
3,1086,1222
4,1087,1628
3,1088,480
3,1089,3116
4,1090,280
3,1091,1948
1,1092,2947
2,1093,2
1,1094,3123
4,1095,1086
3,1096,1229
4,1097,447
2,1098,3520
1,1099,1931
2,1100,440
2,1101,1299
4,1102,2932
1,1103,2263
1,1104,3055
3,1105,1694
1,1106,857
4,1107,3598
3,1108,1638
2,1109,1503
4,1110,1784
3,1111,874
3,1112,3343
2,1113,160
1,1114,541
4,1115,2773
1,1116,818
1,1117,429
2,1118,162
1,1119,588
4,1120,2657
4,1121,2447
3,1122,235
1,1123,1909
2,1124,1739
1,1125,2676
3,1126,2262
2,1127,854
3,1128,3319
4,1129,3220
2,1130,3105
3,1131,2758
2,1132,1173
4,1133,2035
3,1134,3410
3,1135,426
2,1136,1863
1,1137,2895
4,1138,1511
2,1139,354
4,1140,2636
1,1141,3000
4,1142,1774
3,1143,1368
1,1144,1161
4,1145,3502
4,1146,2318
1,1147,1558
4,1148,303
1,1149,2684
4,1150,3541
3,1151,1925
2,1152,1798
2,1153,502
2,1154,3393
4,1155,899
2,1156,3530
1,1157,2764
2,1158,1476
4,1159,1488
2,1160,378
3,1161,3455
2,1162,3532
4,1163,1281
4,1164,2835
4,1165,106
4,1166,118
4,1167,1701
3,1168,1072
3,1169,841
4,1170,2153
1,1171,1164
2,1172,3345
3,1173,1113
2,1174,338
2,1175,458
4,1176,2506
1,1177,1595
1,1178,3024
1,1179,1882
2,1180,402
4,1181,3218
4,1182,160
1,1183,3114
1,1184,981
1,1185,1647
1,1186,1643
3,1187,2226
2,1188,3555
1,1189,38
3,1190,2461
4,1191,3262
3,1192,3399
4,1193,1655
2,1194,640
2,1195,2839
2,1196,2736
4,1197,1893
3,1198,1782
1,1199,1858
1,1200,1593
2,1201,2596
3,1202,2529
3,1203,2399
2,1204,617
1,1205,1911
1,1206,2513
2,1207,2961
2,1208,1410
2,1209,1511
3,1210,1973
2,1211,2217
2,1212,1761
4,1213,3206
4,1214,1910
4,1215,1240
4,1216,2243
1,1217,1805
1,1218,264
4,1219,3179
2,1220,2903
2,1221,960
4,1222,121
1,1223,1330
3,1224,1224
1,1225,1603
2,1226,3090
3,1227,2449
2,1228,211
3,1229,861
3,1230,2234
1,1231,963
4,1232,3643
3,1233,370
1,1234,1186
1,1235,3118
4,1236,3164
3,1237,3273
3,1238,2369
2,1239,757
2,1240,2231
1,1241,627
3,1242,1035
2,1243,1247
2,1244,918
1,1245,665
1,1246,3079
2,1247,1436
4,1248,2530
2,1249,374
1,1250,3337
1,1251,2904
1,1252,2420
2,1253,158
4,1254,915
2,1255,1312
1,1256,3162
2,1257,779
1,1258,817
3,1259,3119
2,1260,340
1,1261,194
3,1262,1637
2,1263,802
1,1264,2271
1,1265,2317
4,1266,2179
3,1267,3093
1,1268,1402
2,1269,410
3,1270,2361
4,1271,1206
2,1272,1071
1,1273,2889
2,1274,2128
1,1275,3290
4,1276,2669
4,1277,600
4,1278,320
2,1279,2822
3,1280,1384
3,1281,1549
3,1282,780
3,1283,2656
4,1284,2105
3,1285,2314
4,1286,3180
1,1287,1834
1,1288,544
1,1289,547
1,1290,1737
1,1291,3044
4,1292,1649
2,1293,274
3,1294,134
4,1295,1645
3,1296,310
1,1297,1585
1,1298,2334
3,1299,157
2,1300,2074
1,1301,903
3,1302,1553
3,1303,258
3,1304,3546
2,1305,2292
4,1306,2862
2,1307,180
3,1308,532
2,1309,658
4,1310,2428
3,1311,3587
4,1312,2390
2,1313,419
3,1314,1301
3,1315,2528
1,1316,1700
1,1317,1302
2,1318,1246
3,1319,3173
3,1320,589
4,1321,1967
1,1322,2384
2,1323,2224
1,1324,545
1,1325,1272
3,1326,2776
2,1327,2212
2,1328,3408
1,1329,40
4,1330,2774
1,1331,3615
2,1332,2456
3,1333,445
1,1334,1848
3,1335,3618
4,1336,3331
1,1337,274
4,1338,1617
2,1339,2159
2,1340,2216
3,1341,2719
2,1342,137
1,1343,3246
4,1344,2918
2,1345,924
3,1346,1957
4,1347,347
2,1348,2310
1,1349,1732
1,1350,737
3,1351,304
2,1352,2136
3,1353,1331
1,1354,1049
4,1355,1372
2,1356,747
2,1357,223
4,1358,997
4,1359,807
4,1360,236
4,1361,1022
2,1362,3626
2,1363,2565
1,1364,1372
3,1365,649
3,1366,981
2,1367,2650
3,1368,1677
4,1369,1392
2,1370,1826
2,1371,191
1,1372,274
1,1373,767
4,1374,2700
3,1375,3347
2,1376,49
1,1377,1593
1,1378,3435
1,1379,3404
4,1380,580
2,1381,2498
3,1382,650
1,1383,1570
3,1384,3360
3,1385,3377
2,1386,1074
2,1387,388
3,1388,3490
4,1389,243
1,1390,2996
2,1391,1477
3,1392,93
2,1393,2702
3,1394,3578
3,1395,422
4,1396,3056
2,1397,319
4,1398,1777
3,1399,1943
3,1400,3531
1,1401,1953
3,1402,2844
2,1403,2905
3,1404,3454
2,1405,45
2,1406,268
2,1407,3295
2,1408,2022
4,1409,80
3,1410,3004
1,1411,2361
2,1412,2091
3,1413,2503
2,1414,2902
4,1415,1071
1,1416,1773
1,1417,391
1,1418,872
4,1419,665
3,1420,156
4,1421,3462
1,1422,3171
3,1423,3045
1,1424,466
4,1425,2625
3,1426,418
4,1427,1235
2,1428,1555
1,1429,1533
1,1430,673
1,1431,1032
3,1432,2573
2,1433,1050
2,1434,2193
1,1435,1011
4,1436,1763
3,1437,377
1,1438,1424
1,1439,143
2,1440,2566
3,1441,1363
3,1442,569
4,1443,2064
4,1444,1561
2,1445,752
4,1446,3498
1,1447,3255
1,1448,205
4,1449,959
3,1450,1199
3,1451,885
3,1452,3239
3,1453,2326
2,1454,771
2,1455,1438
1,1456,233
2,1457,2169
3,1458,1702
2,1459,2001
3,1460,3258
2,1461,2903
3,1462,86
1,1463,2062
3,1464,2819
2,1465,662
3,1466,3259
2,1467,891
1,1468,571
1,1469,3281
2,1470,2074
3,1471,3267
4,1472,2305
2,1473,605
1,1474,2890
3,1475,1504
4,1476,1291
3,1477,709
4,1478,164
3,1479,3116
3,1480,2492
1,1481,1137
4,1482,1193
2,1483,2484
2,1484,155
1,1485,1060
4,1486,903
1,1487,1314
2,1488,2621
2,1489,2570
1,1490,2033
3,1491,2115
4,1492,1910
1,1493,2996
2,1494,2642
1,1495,3505
3,1496,2419
2,1497,3350
1,1498,1012
1,1499,1635
2,1500,2002
1,1501,1349
2,1502,3409
4,1503,1460
4,1504,737
4,1505,746
2,1506,76
4,1507,1174
4,1508,2347
3,1509,369
1,1510,2320
4,1511,1910
1,1512,670
3,1513,3588
1,1514,262
1,1515,3257
4,1516,2097
4,1517,465
4,1518,1001
4,1519,1862
4,1520,2668
4,1521,1356
4,1522,430
1,1523,3197
4,1524,1188
3,1525,369
4,1526,2928
1,1527,151
1,1528,1165
1,1529,2737
2,1530,2851
1,1531,283
3,1532,3111
1,1533,2439
1,1534,3269
3,1535,2658
1,1536,1888
1,1537,3444
2,1538,1789
4,1539,3057
2,1540,2067
1,1541,2151
4,1542,123
1,1543,1229
2,1544,508
3,1545,63
4,1546,3389
3,1547,1819
2,1548,3110
2,1549,1835
1,1550,759
1,1551,1865
4,1552,197
3,1553,3571
2,1554,839
3,1555,518
4,1556,2867
4,1557,2554
3,1558,1278
2,1559,30
3,1560,2606
3,1561,1226
3,1562,2230
3,1563,1164
4,1564,3139
2,1565,526
4,1566,2244
2,1567,599
2,1568,1377
1,1569,2818
3,1570,764
1,1571,700
3,1572,1283
3,1573,3451
3,1574,1705
1,1575,1384
2,1576,3258
2,1577,2912
4,1578,170
3,1579,2130
3,1580,1195
4,1581,536
1,1582,1360
3,1583,3546
1,1584,5
2,1585,2822
4,1586,2047
4,1587,3099
2,1588,3467
1,1589,2408
3,1590,2932
1,1591,304
4,1592,920
2,1593,1902
2,1594,2979
3,1595,2417
4,1596,507
3,1597,535
2,1598,341
4,1599,1519
1,1600,1532
4,1601,2494
4,1602,3115
1,1603,1291
3,1604,2748
2,1605,1481
4,1606,1504
4,1607,1168
2,1608,800
2,1609,2873
3,1610,1473
3,1611,2048
3,1612,1183
2,1613,672
4,1614,1352
3,1615,2099
3,1616,153
1,1617,3008
4,1618,3607
2,1619,2911
4,1620,612
4,1621,1543
4,1622,2935
2,1623,546
2,1624,334
1,1625,2895
4,1626,1481
4,1627,1932
1,1628,1305
4,1629,3632
1,1630,3487
1,1631,738
1,1632,1863
3,1633,3528
4,1634,1435
3,1635,1139
2,1636,2739
1,1637,1624
3,1638,3148
2,1639,1526
3,1640,1815
1,1641,3084
1,1642,2798
4,1643,3420
4,1644,32
1,1645,2469
3,1646,2206
1,1647,808
1,1648,2368
2,1649,73
1,1650,2114
3,1651,2193
4,1652,1463
3,1653,2739
4,1654,1787
3,1655,2081
4,1656,1543
4,1657,1417
3,1658,1247
2,1659,768
1,1660,3320
1,1661,2593
1,1662,2489
4,1663,1249
3,1664,1510
2,1665,610
3,1666,1681
2,1667,1351
2,1668,2560
4,1669,1649
1,1670,2197
2,1671,1034
1,1672,3294
2,1673,1710
2,1674,3435
4,1675,2480
3,1676,1719
3,1677,1808
3,1678,3167
4,1679,3633
2,1680,2174
3,1681,2986
4,1682,1558
4,1683,3133
1,1684,124
4,1685,3180
3,1686,605
4,1687,268
3,1688,936
2,1689,3638
4,1690,382
3,1691,439
1,1692,412
1,1693,650
1,1694,2490
1,1695,3410
2,1696,2205
2,1697,3079
3,1698,2742
3,1699,704
4,1700,1063
1,1701,2205
2,1702,3441
2,1703,979
1,1704,542
1,1705,315
4,1706,1289
4,1707,1493
1,1708,1603
3,1709,2599
3,1710,1567
1,1711,3306
4,1712,3517
2,1713,1449
4,1714,1891
3,1715,1917
2,1716,1843
1,1717,1010
4,1718,414
2,1719,250
1,1720,3438
3,1721,361
2,1722,2049
4,1723,1170
1,1724,2674
1,1725,2322
2,1726,2721
1,1727,3512
4,1728,591
3,1729,1713
2,1730,1276
4,1731,2352
1,1732,2824
2,1733,420
1,1734,2474
3,1735,1675
4,1736,2516
1,1737,699
1,1738,1491
1,1739,1653
2,1740,2381
2,1741,1587
4,1742,2144
4,1743,2631
3,1744,2701
1,1745,833
2,1746,894
4,1747,2918
1,1748,1505
2,1749,1951
3,1750,3592
1,1751,3451
3,1752,1731
4,1753,3547
2,1754,638
4,1755,1405
2,1756,1354
2,1757,737
2,1758,3247
3,1759,1823
4,1760,3009
2,1761,400
3,1762,295
3,1763,1581
1,1764,2714
3,1765,3085
3,1766,2931
3,1767,1139
4,1768,204
2,1769,2409
4,1770,2248
3,1771,1970
3,1772,3242
2,1773,2412
2,1774,709
3,1775,2378
1,1776,3126
4,1777,1267
3,1778,2253
4,1779,1359
4,1780,2611
2,1781,976
4,1782,3273
2,1783,2629
3,1784,2919
2,1785,2748
3,1786,1193
4,1787,2125
4,1788,2541
1,1789,146
3,1790,2002
4,1791,3081
3,1792,3236
3,1793,2780
2,1794,1782
1,1795,1196
2,1796,2372
4,1797,597
2,1798,3266
1,1799,1174
1,1800,2919
1,1801,335
1,1802,1531
1,1803,345
4,1804,1443
4,1805,2543
1,1806,2119
3,1807,2098
1,1808,3472
2,1809,543
4,1810,3043
2,1811,1147
4,1812,125
3,1813,2284
4,1814,1509
1,1815,640
1,1816,1089
2,1817,3241
1,1818,3434
2,1819,3476
2,1820,576
4,1821,999
3,1822,436
2,1823,3479
1,1824,1240
3,1825,1086
2,1826,2737
4,1827,3512
1,1828,2563
3,1829,3106
2,1830,750
1,1831,2876
1,1832,1012
3,1833,2148
3,1834,962
3,1835,766
4,1836,3535
2,1837,381
3,1838,2130
2,1839,322
3,1840,209
2,1841,1180
4,1842,563
3,1843,3420
2,1844,2551
1,1845,1160
4,1846,1824
1,1847,1331
4,1848,933
1,1849,2910
3,1850,3466
4,1851,577
2,1852,1446
2,1853,2910
3,1854,1178
2,1855,2000
2,1856,1538
3,1857,3468
3,1858,3103
4,1859,3355
2,1860,2831
4,1861,2659
2,1862,1270
1,1863,3016
1,1864,3271
2,1865,295
3,1866,826
4,1867,959
1,1868,2820
3,1869,2700
2,1870,439
1,1871,92
1,1872,2827
2,1873,3236
1,1874,44
1,1875,1192
1,1876,2804
3,1877,1773
2,1878,159
2,1879,2332
1,1880,873
2,1881,316
1,1882,605
3,1883,134
3,1884,2346
1,1885,1636
1,1886,58
4,1887,1515
3,1888,3186
3,1889,2950
2,1890,1188
3,1891,3640
1,1892,2922
4,1893,1291
1,1894,199
2,1895,1011
3,1896,276
4,1897,1527
3,1898,523
1,1899,487
2,1900,686
1,1901,1978
1,1902,770
3,1903,464
1,1904,2054
3,1905,540
1,1906,2005
2,1907,2421
2,1908,3599
3,1909,2838
4,1910,1523
3,1911,191
2,1912,971
4,1913,3438
1,1914,2286
3,1915,892
2,1916,3271
2,1917,2760
1,1918,2249
3,1919,1153
1,1920,1291
4,1921,3434
1,1922,641
4,1923,2500
1,1924,3444
3,1925,895
4,1926,2226
3,1927,910
1,1928,1505
2,1929,142
1,1930,2014
4,1931,1921
4,1932,183
1,1933,2308
3,1934,1392
3,1935,1837
4,1936,1532
2,1937,2534
4,1938,2515
1,1939,1354
